№,Полное наименование кладбищ,Адрес,Район города,ИНН,Руководитель,Телефон,Факс,Режим работы,Электронная почта,Примечания
11,"Воинское кладбище ""Сосновка""","194214,
Санкт-петербург, ул. Жака Дюкло, д.40",ВЫБОРГСКИЙ,7801150184,"ООО СИЭМ
194294, Санкт-Петербург, п. Парголово, территория северное кладбище, д.1,  лит. А.
Директор Кириллов Сергей Александрович",_,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",ooosiem@yandex.ru,военное мемориальное безвозмездно предоставляются участки земли для погребения
12,"Воинское кладбище ""Каменка""","194017,
Санкт-Петербург, Большая Каменка, д.1, корп.3",ПРИМОРСКИЙ,7801150184,"ООО СИЭМ
194294, Санкт-Петербург,  п. Парголово, территория северное кладбище, д.1, лит. А.
Директор Кириллов Сергей Александрович",_,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",ooosiem@yandex.ru,военное мемориальное безвозмездно предоставляются участки земли для погребения
13,Серафимовское кладбище,"197183,
Санкт-Петербург, Заусадебная улица, дом 33",ПРИМОРСКИЙ,7801048977,"ООО АГРА
197183, Санкт-Петербург, ул. Заусадебная, д.33.
Генеральный директор Скрыдлов Александр Николаевич",430-31-51,430-30-44,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",ara.spb@mail.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
14,Лахтинское кладбище,"197229,
Санкт-Петербург, Лахта, улица Красных Партизан, дом 16",ПРИМОРСКИЙ,7801048977,"ООО АГРА
197183, Санкт-Петербург,  ул. Заусадебная, д.33.
Генеральный директор Скрыдлов Александр Николаевич",430-31-51,430-30-44,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",ara.spb@mail.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
15,Смоленское Лютеранское,"199178,
Санкт-Петербург, наб.р.Смоленки, д.27",ВАСИЛЕОСТРОВСКИЙ,7805165872,"ООО «Собор»
198188, Санкт-Петербург, ул.Маршала Говорова, д.29, лит.А, пом. 1-Н. 
Директор Казаков Петр Витальевич",321-99-93,321-99-93,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",sobor.spb@mail.ru,историко-мемориальное безвозмездно предоставляются участки земли для погребения
16,Смоленское Православное,"199178,
Санкт-Петербург, Камская ул., д.26",ВАСИЛЕОСТРОВСКИЙ,7805165872,"ООО Собор
198188, Санкт-Петербург, ул.Маршала Говорова, д.29, лит.А, пом. 1-Н. 
Директор Казаков Петр Витальевич",321-99-93,321-99-93,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",sobor.spb@mail.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
17,Остров Декабристов,"199155,
Санкт-Петербург, пр.КИМа, д.2, литера А",ВАСИЛЕОСТРОВСКИЙ,7805165872,"ООО Собор
198188, Санкт-Петербург, ул.Маршала Говорова, д.29, лит.А, пом. 1-Н. 
Директор Казаков Петр Витальевич",430-31-51,430-30-44,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",sobor.spb@mail.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
18,Армяно-Григорианское,"199178,
Санкт-Петербург, наб.р.Смоленки, д.29",ВАСИЛЕОСТРОВСКИЙ,7805165872,"ООО Собор
198188, Санкт-Петербург, ул.Маршала Говорова, д.29, лит.А, пом. 1-Н. 
Директор Казаков Петр Витальевич",430-31-51,430-30-44,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",sobor.spb@mail.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
19,Большеохтинское,"195027,
Санкт-Петербург, пр.Металлистов, д.5",КРАСНОГВАРДЕЙСКИЙ,7806029819,"ООО «РИТЭК» 
195027, Санкт-Петербург,  пр. Металистов, д.5, лит. А.
Генеральный директор Фадеев Сергей Станиславович",224-27-29,224-27-29,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",ooo_ritek@mail.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
20,Малоохтинское,"195112,
Санкт-Петербург, Новочеркасский пр., д.12, корп.3",КРАСНОГВАРДЕЙСКИЙ,7806029819,"ООО «РИТЭК» 
195027, Санкт-Петербург, пр. Металистов, д.5, лит. А.
Генеральный директор Фадеев Сергей Станиславович",528-67-77,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",ooo_ritek@mail.ru,"общественное кладбище безвозмездно предоставляются участки земли
для погребения, с захоронениями после кремации"
21,Пороховское,"195043,
Санкт-Петербург, Рябовское шоссе, д.78",КРАСНОГВАРДЕЙСКИЙ,7806029819,"ООО «РИТЭК» 
195027, Санкт-Петербург, пр. Металистов, д.5, лит. А.
Генеральный директор Фадеев Сергей Станиславович",527-17-97,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",ooo_ritek@mail.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
22,Красненькое,"198207,
Санкт-Петербург, пр.Стачек, д.98",КИРОВСКИЙ,7806117991,"ООО «Похоронный Дом «Юго-Запад»
198207, Санкт-Петербург, пр. Стачек, д.98, лит. А.
Генеральный директор Разов Андрей Александрович",783-30-30,783-24-81,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",pdsw@list.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
23,Южное воинское,"198152,
Санкт-Петербург, Краснопутиловская ул., у ТЭЦ-15",КИРОВСКИЙ,7806117991,"ООО «Похоронный Дом «Юго-Запад»
198207, Санкт-Петербург, пр. Стачек, д.98, лит. А.
Генеральный директор Разов Андрей Александрович",_,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",pdsw@list.ru,военное мемориальное безвозмездно предоставляются участки земли для погребения
24,Красносельское,"198320,
Санкт-Петербург, 
г. Красное село,
 пр. Ленина, д.84, корп.2",КРАСНОСЕЛЬСКИЙ,7806117991,"ООО «Похоронный Дом «Юго-Запад»
198207, Санкт-Петербург, пр. Стачек, д.98, лит. А.
Генеральный директор Разов Андрей Александрович",783-24-81,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",pdsw@list.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
25,Старо-Паново,"198205,
Санкт-Петербург, Красная ул., д.34",КРАСНОСЕЛЬСКИЙ,7806117991,"ООО «Похоронный Дом «Юго-Запад»
198207, Санкт-Петербург, пр. Стачек, д.98, лит. А.
Генеральный директор Разов Андрей Александрович",_,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",pdsw@list.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
26,Гореловское кладбище,"198323,
Ленинградская обл., пос. Горелово",КРАСНОСЕЛЬСКИЙ,7806117991,"ООО «Похоронный Дом «Юго-Запад»
198207, Санкт-Петербург, пр. Стачек, д.98, лит. А.
Генеральный директор Разов Андрей Александрович",_,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",pdsw@list.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
27,"Воинское кладбище ""Володарское""","198218,
Санкт-Петербург,
Володарский",КРАСНОСЕЛЬСКИЙ,7806117991,"ООО «Похоронный Дом «Юго-Запад»
198207, Санкт-Петербург, пр. Стачек, д.98, лит. А.
Генеральный директор Разов Андрей Александрович",_,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",pdsw@list.ru,военное мемориальное безвозмездно предоставляются участки земли для погребения
28,"Воинское кладбище ""Дачное""","198217,
Санкт-Петербург, пр.Народного Ополчения",КРАСНОСЕЛЬСКИЙ,7806117991,"ООО «Похоронный Дом «Юго-Запад»
198207, Санкт-Петербург, пр. Стачек, д.98, лит. А.
Генеральный директор Разов Андрей Александрович",_,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",pdsw@list.ru,военное мемориальное безвозмездно предоставляются участки земли для погребения
29,Киновеевское,"193091,
Санкт-Петербург, Октябрьская наб. д.16, корпус 3",НЕВСКИЙ,7805166805,"ООО «ОНИКС»
192007, Санкт-Петербург, проезд Росстанный, д.3.
Генеральный директор Шутов
Олег Николаевич",587-94-14,587-94-14,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",kinobiebckoe@rambler.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
30,Казанское,"192177,
Санкт- Петербург,ул. Караваевская, д.16",НЕВСКИЙ,7805166805,"ООО «ОНИКС»
192007, Санкт-Петербург, проезд Росстанный, д.3.
Генеральный директор Шутов Олег Николаевич",_,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",oniks-2@mail.ru,"общественное кладбище безвозмездно предоставляются участки земли
для погребения, с захоронениями после кремации"
31,Невское воинское,"193230,
Санкт-Петербург, Дальневосточный пр., д. 53",НЕВСКИЙ,7805166805,"ООО «ОНИКС»
192007, Санкт-Петербург, проезд Росстанный, д.3.
Генеральный директор Шутов Олег Николаевич",_,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",oniks-2@mail.ru,военное мемориальное безвозмездно предоставляются участки земли для погребения
32,Памяти Жертв 9-Января кладбище,"192174,
Санкт-Петербург, пр. Александровской Фермы, д.16",НЕВСКИЙ,7816384354,"ООО «Ритуал»
192007,Санкт-Петербург, ул.Камчатская, д.9.
Генеральный директор Боринов Станислав Анатольевич.",367-41-65,367-41-65,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",oooritual@bk.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
33,Новодевичье,"196084,
Санкт-Петербург, Московский пр. д.100, корп.2",МОСКОВСКИЙ,7801048977,"ООО «АГРА»
197183, Санкт-Петербург, ул. Заусадебная, д.33.
Генеральный директор Скрыдлов Александр Николаевич",387-32-72,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",ara.spb@mail.ru,историко-мемориальное безвозмездно предоставляются участки земли для погребения
34,"Воинское кладбище ""Чесменское""","196135,
Санкт-Петербург, ул. Ленсовета, д.12,  корп.2",МОСКОВСКИЙ,7801048977,"ООО «АГРА»
197183, Санкт-Петербург,    
ул. Заусадебная, д.33.
Генеральный директор
Скрыдлов Александр Николаевич",430-31-51,430-30-44,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",ara.spb@mail.ru,военное мемориальное безвозмездно предоставляются участки земли для погребения
35,Громовское  - Старообрядческое,"196084,
Санкт-Петербург, Ялтинская ул., дом 3",МОСКОВСКИЙ,7801048977,"ООО «АГРА»
197183, Санкт-Петербург, ул. Заусадебная, д.33.
Генеральный директор Скрыдлов Александр Николаевич",430-31-51,430-30-44,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",ara.spb@mail.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
36,"Воинское кладбище ""Аэропорт""","196210,
Санкт-Петербург, Штурманская улица, д.32",МОСКОВСКИЙ,7801048977,"ООО «АГРА»
197183, Санкт-Петербург, ул. Заусадебная, д.33.
Генеральный директор Скрыдлов Александр Николаевич",430-31-51,430-30-44,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",ara.spb@mail.ru,военное мемориальное безвозмездно предоставляются участки земли для погребения
37,"Воинское кладбище ""Пулковское ""","196140,
Санкт-Петербург, Пулковское шоссе, д.61 корп.2",МОСКОВСКИЙ,7801048977,"ООО «АГРА»
197183, Санкт-Петербург, ул. Заусадебная, д.33.
Генеральный директор Скрыдлов Александр Николаевич",430-31-51,430-30-44,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",ara.spb@mail.ru,военное мемориальное безвозмездно предоставляются участки земли для погребения
38,"Воинское кладбище ""Высота Меридиан""","196140,
Санкт-Петербург, Пулковское шоссе, д.61 корп.3",МОСКОВСКИЙ,7801048977,"ООО «АГРА»
197183, Санкт-Петербург, ул. Заусадебная, д.33.
Генеральный директор Скрыдлов Александр Николаевич",430-31-51,430-30-44,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",ara.spb@mail.ru,военное мемориальное безвозмездно предоставляются участки земли для погребения
39,Ново-Волковское кладбище,"192102,
Санкт-Петербург, ул. Салова, д.80",ФРУНЗЕНСКИЙ,7805166805,"ООО «ОНИКС»
192007, Санкт-Петербург, проезд Росстанный, д.3.
Генеральный директор Шутов Олег Николаевич",705-34-19,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",oniks-2@mail.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
40,Волковское Лютеранское кладбище,"192102,
Санкт-Петербург, наб. р. Волковки, д.1",ФРУНЗЕНСКИЙ,7805166805,"ООО «ОНИКС»
192007, Санкт-Петербург, проезд Росстанный, д.3.
Генеральный директор Шутов
Олег Николаевич",766-33-34,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",oniks-2@mail.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
41,Волковское Православное кладбище,"192007,
Санкт-Петербург, Расстанный проезд, д.3",ФРУНЗЕНСКИЙ,7805166805,"ООО «ОНИКС»
192007, Санкт-Петербург, проезд Росстанный, д.3.
Генеральный директор Шутов Олег Николаевич",766-04-00,766-04-00,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",oniks-2@mail.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
42,Еврейское,"192174,
Санкт-Петербург,
пр.Александровской Фермы, д.14",ФРУНЗЕНСКИЙ,7816384354,"ООО «Ритуал»
192007,Санкт-Петербург, ул.Камчатская, д.9.
Генеральный директор Боринов Станислав Анатольевич.",974-05-48,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",evreyskoe@yandex.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
43,Городское русское,"197760,
Санкт-Петербург, г.Кронштадт, Кронштадское шоссе, д. 31",КРОНШТАДТ,7843302865,"ООО «Похоронное бюро Кронштадского района» 197760,Санкт-Петербург, г.Кронштадт, Кронштадское шоссе,д.41, пом. 6-Н.
Генеральный директор Скворцов Михаил Анатольевич","439-05-43,
439-05-38",_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",pohoronnoe.kron@gmail.com,общественное кладбище традиционного способа погребения безвозмездно предоставляются участки земли для погребения
44,Лютеранское,"197760,
Санкт-Петербург, г. Кронштадт, Цитадельская дорога.",КРОНШТАДТ,7843302865,"ООО «Похоронное бюро Кронштадского района» 197760,Санкт-Петербург, г.Кронштадт, Кронштадское шоссе,д.41, пом. 6-Н.
Генеральный директор Скворцов Михаил Анатольевич","439-05-43,
439-05-38",_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",pohoronnoe.kron@gmail.com,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
45,Репинское,"197738,
Санкт-Петербург, пос. Репино, Большой пр., д. 43, лит. А",КУРОРТНЫЙ,7805165872,"ООО «Собор»
198188, Санкт-Петербург, ул.Маршала Говорова, д.29, лит.А, пом. 1-Н. 
Директор Казаков Петр Витальевич",433-32-19,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",sobor.spb@mail.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
46,Зеленогорское,"197720,
Санкт-Петербург, г.Зеленогорск, пр. Ленина, д. 89, лит. А",КУРОРТНЫЙ,7805165872,"ООО «Собор»
198188, Санкт-Петербург, ул.Маршала Говорова, д.29, лит.А, пом. 1-Н. 
Директор Казаков Петр Витальевич",433-32-19,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",sobor.spb@mail.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
