Порядковый номер,Наименование,Сокращенное наименование,Руководитель,Адрес,Телефон,Эл.почта,Сайт,ИНН,КПП,ОГРН
25,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Северный,МА МО Северный,Пустосмехова Светлана Владимировна,"195274, Санкт-Петербург, пр. Луначарского, д. 80, корп. 1, лит. Б",558-56-05,Mo_nord_spb@mail.ru,Мосеверный.рф,7804328852,780401001,1057813308420
26,Местная Администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Прометей,МА МО Прометей,Кухарева Галина Викторовна,"195276, Санкт-Петербург, ул. Тимуровская, д. 8, корп. 1","558-68-11, 590-98-01",Office@mo24-prometey.ru,Mo24-prometey.ru,7804330403,780401001,1067847160787
27,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Княжево,МА МО Княжево,Галь Александр Сергеевич,"198207, Санкт-Петербург, Ленинский пр., д. 119","377-15-17, 377-21-37",Momo-25@yandex.ru,Мокняжево.рф,7805384634,780501001,1057813046499
28,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Ульянка,МА МО Ульянка,Русинович Станислав Александрович,"198261, Санкт-Петербург, ул. Генерала Симоняка, д. 9",759-15-15,Mo-26@yandex.ru,Mo-ulyanka.ru,7805387297,780501001,1057813316285
29,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Дачное,МА МО Дачное,Середкин Михаил Борисович,"198255, Санкт-Петербург, пр. Ветеранов, д. 69","752-92-83, 752-94-19",Mo_dachnoe27@mail.ru.,Dachnoe.ru,7805300419,780501001,1047808023185
30,Местная администрация внутригородского муниципального образования города федерального значения Санкт-Петербурга муниципальный округ Автово,МА МО Автово,Кесаев Алан Владимирович,"198152, Санкт-Петербург, ул. Краснопутиловская, д. 27",785-00-47,Avtovo.spb@mail.ru,Moavtovo.ru,7805386825,780501001,1057813277554
31,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Нарвский округ,МА МО Нарвский округ,Мацко Елена Борисовна,"198095, Санкт-Петербург, ул. Оборонная, д. 18","786-77-66, 252-77-33",Narvokrug@yandex.ru,Narvski-okrug.spb.ru,7805384761,780501001,1057813055475
32,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Красненькая речка,МА МО Красненькая речка,И.о. Сарматицкий Александр Валерьевич,"198302, Санкт-Петербург, пр. Маршала Жукова, д. 20","757-91-11, 757-27-83",Ma.redriver@mail.ru,Красненькаяречка.рф,7805371900,780501001,1057810429918
33,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Морские ворота,МА МО Морские ворота,И.о. Константинов Владимир Геральдович,"198184, Санкт-Петербург, Канонерский остров, д. 8-А",746-90-45,Morskievorota@mail.ru,Моморскиеворота.рф,7805387120,780501001,1057813300005
34,Местная администрация внутригородского муниципального образования Санкт-Петербурга город Колпино,МА МО г. Колпино,Лащук Евгений Александрович,"196655, Санкт-Петербург, г. Колпино, Соборная, д. 1/4",386-76-60,Mamo@mokolpino.spb.ru,Kolpino-mo.net,7817032115,781701001,1027808763201
35,Местная администрация внутригородского муниципального образования Санкт-Петербурга поселок Понтонный,МА МО п. Понтонный,Сумбаров Виталий Николаевич,"196643, Санкт-Петербург, п. Понтонный, ул. А.Товпеко, д. 10","462-44-27, 462-40-39",Mail@mo-pontonniy.ru,Mo-pontonniy.ru,7817304520,781701001,1057812998187
36,Местная администрация внутригородского муниципального образования Санкт-Петербурга поселок Усть-Ижора,МА МО п. Усть-Ижора,Мацепуро Наталья Ивановна,"196645, Санкт-Петербург, п. Усть-Ижора, Шлиссельбургское ш., д. 219",462-41-53,Ust-izora.mamo@mail.ru,Ust-izora-mo.ru,7817304591,781701001,1057813047489
37,Местная администрация внутригородского муниципального образования Санкт-Петербурга поселок Петро-Славянка,МА МО п. Петро-Славянка,Васильев Александр Юрьевич,"196642, Санкт-Петербург, п. Петро-Славянка, ул. Труда, д. 1",462-13-04,1@petro-slavyanka.ru,Petro-slavyanka.ru,7817031760,781701001,1027808752553
38,Местная администрация внутригородского муниципального образования Санкт-Петербурга поселок Саперный,МА МО п. Саперный,Харитонов Дмитрий Олегович,"196644, Санкт-Петербург, поселок Саперный, Дорожная улица, дом 2, литера А",462-16-32,Mo.saperka@mail.ru,Mo-saperniy.ru,7817304538,781701001,1057812999177
39,Местная администрация внутригородского муниципального образования Санкт-Петербурга поселок Металлострой,МА МО п. Металлострой,Смирнов Юрий Сергеевич,"196641, Санкт-Петербург, п. Металлострой, ул. Центральная, д. 22",464-95-71,Ma_vmo_met@mail.ru,Вмометаллострой.рф,7817304658,781701001,1057813103754
40,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Полюстрово,МА МО Полюстрово,Жабрев Андрей Анатольевич,"195253, Санкт-Петербург, проспект Энергетиков, дом 70, корпус 1, литера А",226-55-07,Mo.polustrovo@mail.ru,Mopolustrovo.ru,7806055664,780601001,1027804196606
41,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Большая Охта,МА МО Большая Охта,Фрегатова Анастасия Александровна,"195027, Санкт-Петербург, Тарасова ул., д. 9",224-19-07,Munokrug@bohta.spb.ru,Bohta.spb.ru,7806328287,780601001,1057813202765
42,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Малая Охта,МА МО Малая Охта,Маневич Александра Валентиновна,"195112, Санкт-Петербург, Новочеркасский пр., д. 25, корп. 2, лит. А","528-46-63, 528-16-45",Mo.malayaoxta@mail.ru,Малаяохта.рф,7806114704,780601001,1037816028810
43,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Пороховые,МА МО Пороховые,Литвинов Валерий Александрович,"195298, Санкт-Петербург, пр. Косыгина, д. 27/1",524-29-03,Moporohovie@mail.ru,Мопороховые.рф,7806328551,780601001,1057813223907
44,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Ржевка,МА МО Ржевка,Кибирев Борис Владимирович,"195030, Санкт-Петербург, ул. Коммуны, д. 52","527-70-00, 527-68-62",Morjevka@mail.ru,Morjevka.spb.ru,7806330053,780601001,1067847101233
45,Местная администрация внутригородского муниципального образования города федерального значения Санкт-Петербурга муниципальный округ Юго-Запад,МА МО Юго-Запад,Шеромов Валерий Викторович,"198330, Санкт-Петербург, Петергофское шоссе, д. 3, корп. 2",745-79-33,Info@mougozapad.ru,Mougozapad.ru,7807310892,780701001,1057813309443
46,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Южно-Приморский,МА МО Южно-Приморский,Гудадзе Паата Сергеевич,"198332, Санкт-Петербург, ул. Доблести, д. 20, корп. 1",745-47-66,Ms38.spb@mail.ru,Upmo.ru,7807310885,780701001,1057813308651
47,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Сосновая поляна,МА МО Сосновая поляна,Бабаёв Максим Захарович,"198264, Санкт-Петербург, ул. Пограничника Гарькавого, д. 22, корп. 3","744-87-37, 744-05-39",Ms39@mail.ru,Vmo39.spb.ru,7807310726,780701001,1057813223841
48,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Урицк,МА МО Урицк,Ромашкина Анна Владимировна,"198205, Санкт-Петербург, ул. Партизана Германа, д. 22",735-11-33,Urizk@mail.ru,Urizk.spb.ru,7807310966,780701001,1057813324040
49,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Константиновское,МА МО Константиновское,Лавриненко Андрей Александрович,"198264, Санкт-Петербург, пр. Ветеранов, д. 166, лит. А",300-48-80,Mokrug41@mail.ru,Konstantinovskoe.spb.ru,7807310660,780701001,1057813208980
50,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Горелово,МА МО Горелово,Шевцова Наталья Сергеевна,"198323, Санкт-Петербург, Красносельское шоссе, д. 46, лит. А",746-25-65,Ma@mogorelovo.ru,Mogorelovo.ru,7807311102,780701001,1067847079882
51,Местная администрация внутригородского муниципального образования Санкт-Петербурга город Красное Село,МА МО г. Красное Село,Иванов Игорь Александрович,"198320, Санкт-Петербург, Красное Село,  пр. Ленина, д. 85",741-14-27,Mo@krasnoe-selo.ru,Krasnoe-selo.ru,7807027846,780701001,1027804603310
52,Местная администрация внутригородского муниципального образования Санкт-Петербурга город Кронштадт,МА МО г. Кроштадт,Мартемьянов Александр Игоревич,"197760, Санкт-Петербург, г. Кронштадт, ул. Зосимова, д. 11, лит. А",311-22-57,Info@makron-spb.ru,Kronmo.ru,7818008764,784301001,1027808867349
53,Местная администрация внутригородского муниципального образования Санкт-Петербурга город Зеленогорска,МА МО г. Зеленогорск,Долгих Игорь Анатольевич,"197720, Санкт-Петербург, г. Зеленогорск, ул. Исполкомская, д. 5",433-80-63,Mozelenogorsk@mail.ru,Зеленогорск.спб.рф,7843302551,784301001,1057812884271
54,Местная администрация внутригородского муниципального образования Санкт-Петербурга город Сестрорецка,МА МО г. Сестрорецк,Овсянникова Татьяна Семеновна,"197706, Санкт-Петербург, г. Сестрорецк, Приморское шоссе, д. 280, лит. А",679-69-00,Info@sestroretsk.spb.ru,Sestroretsk.spb.ru,7827012478,784301001,1027812405642
55,Местная администрация внутригородского муниципального образования Санкт-Петербурга поселок Белоостров,МА МО пос. Белоостров,И.о. Граблин Алексей Николаевич,"197730, Санкт-Петербург, п. Белоостров, Новое шоссе, д. 53 А","740-13-61, 740-13-62",Ma@mobeloostrov.ru,Mobeloostrov.ru,7843302826,784301001,1057813190984
56,Местная администрация внутригородского муниципального образования Санкт-Петербурга поселок Комарово,МА МО пос. Комарово,Торопов Евгений Александрович,"197733, Санкт-Петербург, п. Комарово, ул. Цветочная, д. 22",433-72-83,Mokomarovo@yandex.ru,Komarovo.spb.ru,7843301861,784301001,1057811683214
57,Местная администрация внутригородского муниципального образования Санкт-Петербурга поселок Молодежное,МА МО пос. Молодежное,Денисов Никита Сергеевич,"197729, Санкт-Петербург, п. Молодёжное, ул. Правды, д. 5",679-25-96,Ma@momolodejnoe.ru;,Momolodejnoe.ru,7843302706,784301001,1057813053330
58,Местная администрация внутригородского муниципального образования Санкт-Петербурга поселок Песочный,МА МО пос. Песочный,Шувалова Алла Викторовна,"197758, Санкт-Петербург, п. Песочный, ул. Советская, д. 6",596-87-06,Mopesochnoe@mail.ru,Мопесочный.рф,7843301614,784301001,1057810811959
59,Местная администрация внутригородского муниципального образования Санкт-Петербурга поселок Репино,МА МО пос. Репино,Семенова Ирина Геннадьевна,"197738, Санкт-Петербург, п. Репино, Приморское шоссе, д. 443","433-01-18, 433-51-76",Ma@morepino.ru,Морепино.рф,7843300402,784301001,1047855072187
60,Местная администрация внутригородского муниципального образования Санкт-Петербурга поселок Серово,МА МО пос. Серово,Федорова Галина Васильевна,"197720, Санкт-Петербург, г. Зеленогорск, пр. Ленина, д. 15",433-65-06,Moserovo@mail.ru,Серово-спб.рф,7843302784,784301001,1057813170590
61,Местная администрация внутригородского муниципального образования Санкт-Петербурга поселок Смолячково,МА МО пос. Смолячково,Чулин Андрей Тихонович,"197720, Санкт-Петербург, г. Зеленогорск, пр. Ленина, д. 14, лит. А, пом. 1-Н","409-88-25, 409-88-26",Ma@mo-smol.ru,Mo-smol.ru,7843302689,784301001,1057813001443
62,Местная администрация внутригородского муниципального образования города федерального значения Санкт-Петербурга поселок Солнечное,МА МО пос. Солнечное,Барашкова Виктория Анатольевна,"197739, Санкт-Петербург, пос. Солнечное, Вокзальная ул., д. 15, лит.А","432-94-67, 432-95-69",Ma.info@mosun.ru,Мосолнечное.рф,7827010015,784301001,1027812406533
63,Местная администрация внутригородского муниципального образования Санкт-Петербурга поселок Ушково,МА МО пос. Ушково,Захова Татьяна Викторовна,"197720, Санкт-Петербург, г. Зеленогорск, пр. Ленина, д. 15",433-82-18,Ma@mo-ushkovo.ru,Mo-ushkovo.ru,7843302720,784301001,1057813058346
64,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Московская застава,МА МО Московская застава,Морозов Игорь Вячеславович,"196105, Санкт-Петербург, ул. Свеаборгская, д. 8","387-88-85, 387-88-78",Mcmo44@yandex.ru,Mo44.net,7810050080,781001001,1067847129074
65,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципального округа Гагаринское,МА МО Гагаринское,Трусников Михаил Владимирович,"196244, Санкт-Петербург, Витебский пр., д. 41/1","378-53-47, 378-53-60",Adm@gagarinskoe.ru,Mogagarinskoe.ru,7810258787,781001001,1037821041917
66,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Новоизмайловское,МА МО Новоизмайловское,Смирнов Евгений Эдуардович,"196247, Санкт-Петербург, Новоизмайловский пр., д. 85, корп.1",370-44-83,Mo46@mail.ru,Новоизмайловское.рф,7810032780,781001001,1057811572620
67,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Пулковский меридиан,МА МО Пулковский меридиан,Чистяков Дмитрий Андреевич,"196070, Санкт-Петербург, ул. Победы, д. 8",414-00-68,Ma-mo-47@yandex.ru,Mo47.spb.ru,7810149259,781001001,1037821053654
68,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Звездное,МА МО Звездное,Тришина Юлия Николаевна,"196066, Санкт-Петербург, Алтайская ул., д. 13",371-28-72,Mo048@yandex.ru,Мозвездное.рф,7810248186,781001001,1037821043963
69,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Невская Застава,МА МО Невская застава,Пронин Алексей Владимирович,"192148, Санкт-Петербург, ул. Седова, д. 19",365-19-49,Mozastava49@gmail.com,Моневскаязастава.рф,7811333821,781101001,1057813261857
70,Местная администрация внутригородского муниципального образования города федерального значения Санкт-Петербурга муниципальный округ Ивановский,МА МО Ивановский,Попов Леонид Игоревич,"192131, Санкт-Петербург, ул. Ивановская, д. 26","560-35-14, 368-32-39",Moivanovskiy@gmail.com,Moivanovskiy.ru,7811334261,781101001,1057813309630
71,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Обуховский,МА МО Обуховский,Кудровский Игорь Олегович,"192012, Санкт-Петербург, 2-й Рабфаковский пер., д. 2","368-49-45, 367-33-10",Info@moobuhovskiy.ru,Мообуховский.рф,7811077127,781101001,1037825039207
72,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Рыбацкое,МА МО Рыбацкое,Буланович Владимир Андреевич,"192177, Санкт-Петербург, Прибрежная ул., д. 16",700-48-73,Secretaryrybmo@rambler.ru,Rybmo.ru,7811332433,781101001,1057813080258
73,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Народный,МА МО Народный,Сучилин Игорь Валерьевич,"193079, Санкт-Петербург, ул. Новоселов, д. 5",446-39-12,Admin@monaro.ru,Mo53.net,7811140940,781101001,1037825048711
74,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ №54,МА МО № 54,Девяткин Александр Валентинович,"193230, Санкт-Петербург, Дальневосточный пр., д. 42","446-59-40,447-81-14",Ma@mo54.ru,Mo54.ru,7811334127,781101001,1057813296925
75,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Невский округ,МА МО Невский округ,Данилов Дмитрий Юрьевич,"193231, Санкт-Петербург, ул. Коллонтай, д. 21, корп. 1","589-25-90, 589-27-27",Nevski_okryg@mail.ru,Невскийокруг.рф,7811334857,781101001,1067847067463
76,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Оккервиль,МА МО Оккервиль,Житников Игорь Владимирович,"193312, Санкт-Петербург, ул. Коллонтай, д. 41, корп. 1",588-25-17,Ma@mo-okkervil.ru,Mo-okkervil.ru,7811077945,781101001,1047818002132
77,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Правобережный,МА МО Правобережный,Тонкель Игорь Ростиславович,"193231, Санкт-Петербург, ул. Латышских Стрелков, д. 11, корп. 4","584-43-34, 584-02-33",Spbmo57@mail.ru,Mo57.ru,7811075000,781101001,1037825018483
78,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Введенский,МА МО Введенский,Колядин Сергей Николаевич,"197198, Санкт-Петербург, ул. Введенская, д. 7",232-51-52,Mo58@bk.ru,Mo58.ru,7813338769,781301001,1067847131747
79,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Кронверкское,МА МО Кронверкское,Мекшун Николай Владимирович,"197101, Санкт-Петербург, ул. Ленина, д. 12/36","498-58-69, 498-58-72",Kronverk59@mail.ru,Kronverkskoe.ru,7813335775,781301001,1057813117977
80,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Посадский,МА МО Посадский,Высоцкий Дмитрий Олегович,"197046, Санкт-Петербург, ул. Большая Посадская, д. 4, лит. Д",313-96-65,Momo60@list.ru,Mo60.ru,7813337860,781301001,1067847035474
81,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Аптекарский остров,МА МО Аптекарский остров,Бондаренко Андрей Сергеевич,"197022, Санкт-Петербург, ул. Льва Толстого, д. 5",702-12-02,Mamo61@yandex.ru,Msapt-ostrov.ru,7813337275,781301001,1057813296452
82,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ округ Петровский,МА МО округ Петровский,Томов Александр Сергеевич,"197198, Санкт-Петербург, ул. Гатчинская, д. 16",232-99-52,Mo-62@yandex.ru,Petrovskiokrug.ru,7813337268,781301001,1057813296386
83,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Чкаловское,МА МО Чкаловское,Новицкий Алексей Сергеевич,"197110, Санкт-Петербург, ул. Большая Зеленина, д. 20",230-94-87,Mo-chkalovskoe@yandex.ru,Mo-chkalovskoe.ru,7813337557,781301001,1057813325987
84,Местная администрация внутригородского муниципального образования Санкт-Петербурга поселок Стрельна,МА МО пос. Стрельна,Климачева Ирина Алексеевна,"198515, Санкт-Петербург, п. Стрельна, Санкт-Петербургское шоссе, д. 69",421-39-88,Info@mo-strelna.ru,Mo-strelna.ru,7819019663,781901001,1037841003001
85,Местная администрация внутригородского муниципального образования Санкт-Петербурга город Петергоф,МА МО г. Петергоф,Егорова Татьяна Сергеевна,"198510, Санкт-Петербург, г. Петергоф, ул. Самсониевская, д. 3",450-54-18,Info@mo-petergof.spb.ru,Мо-петергоф.рф,7819019670,781901001,1027808916486
86,Местная администрация внутригородского муниципального образования Санкт-Петербурга город Ломоносов,МА МО г. Ломоносов,Фадеева Алла Александровна,"198412, Санкт-Петербург, г. Ломоносов, Дворцовый пр., д. 40",422-73-76,Office@mo-lomonosov.ru,Mo-lomonosov.ru,7819025258,781901001,1037841001010
87,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципального округа Лахта-Ольгино,МА МО Лахта-Ольгино,Чепарский Владимир Игоревич,"197229, Санкт-Петербург, п. Ольгино, ул. Советская, д. 2","498-33-24, 498-33-27",Lahtaolgino@mail.ru,Lahta-olgino.ru,7814128901,781401001,1037832016496
88,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ № 65,МА МО № 65,Саликова Елена Дмитриевна,"197082, Санкт-Петербург, Богатырский пр., д. 59, корп. 1",341-03-82,Msmo65@yandex.ru,Mo65.ru,7814316670,781401001,1057810182341
89,Местная администрация внутригородского муниципального образования города федерального значения Санкт-Петербурга муниципальный округ Ланское,МА МО Ланское,Черкасов Сергей Николаевич,"197183, Санкт-Петербург, ул. Сестрорецкая, д. 7",430-58-30,Округчернаяречка.рф,Ланское.рф,7814333072,781401001,1057813218902
90,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Комендантский аэродром,МА МО Комендантский аэродром,Брызгалова Марина Юрьевна,"197348, Санкт-Петербург, Богатырский пр., д. 7, корп. 5","394-89-49, 394-58-42, 394-69-48",Aerodrom67@mail.ru,Aerodrom67.spb.ru,7814308245,781401001,1047855117342
91,Местная администрация внутригородское муниципальное образование Санкт-Петербурга муниципальный округ Озеро Долгое,МА МО Озеро Долгое,Ходырева Светлана Николаевна,"197349, Санкт-Петербург, пр. Испытателей, д. 31, корп. 1",301-05-01,Mo68@list.ru,Ozero-dolgoe.net,7814094586,781401001,1037832025593
92,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Юнтолово,МА МО Юнтолово,Ковба Елена Николаевна,"197373, Санкт-Петербург, ул. Шаврова, д. 5, корп. 1",307-29-76,Mo69@mail.ru,Untolovo.org,7814333900,781401001,1057813326340
