Наименование организации,Юридический адрес,Фактический адрес,Телефон для справок,Электронная почта,Сайт,Координаты
"ООО ""ТЕПЛОЭНЕРГО""","194021, г. Санкт-Петербург, Инструментальная ул., д.З, лит.К","194021, г. Санкт-Петербург, Инструментальная ул., д.З, лит.К","+7 (812) 363-09-36, +7 (812) 363-09-36",teploenergo@te-spb.ru,http://te-spb.ru,"59.973023,30.324231"
"ФГБОУ ВПО ""СПбГПУ""","195251, г. Санкт-Петербург, ул. Политехническая, д.29","195251, г. Санкт-Петербург, ул. Политехническая, д.29",+7 (812) 297-16-16,-,-,"60.007461,30.3731"
"ЗАО ""Пансионат ""Буревестник""","197738, г. Санкт-Петербург, пос. Репино, ул. Луговая, д. 8","197738, г. Санкт-Петербург, пос. Репино, ул. Луговая, д. 8",+7 (812) 432-08-16,khl.engineer@kar.kompany,http://www.brv.spb.ru,"60.169139,29.875586"
"СПб ГУП ""Петербургский метрополитен""","190013, г. Санкт-Петербург, Московский пр., д. 28","190013, г. Санкт-Петербург, Московский пр., д. 28","+7 (812) 251-66-68, +7 (812) 606-10-88",np@metro.spb.ru,http://www.metro.spb.ru,"59.916487,30.318689"
ФГБОУ ВПО ПГУПС,"190031, г. Санкт-Петербург, Московский пр., д.9","190031, г. Санкт-Петербург, Московский пр., д.9","+7 (812) 457-8628, +7 (812) 315-2621",tradegz@bk.ru,https://www.pgups.ru,"59.924028,30.31718"
ООО «ГАЗКОМПЛЕКТ»,"197343, г. Санкт-Петербург, ул.Земледельческая, 14","197343, г. Санкт-Петербург, ул.Земледельческая, 14",+7 (812) 777-95-57,info@gazkomplekt.su,https://www.gazkomplekt.su/,"59.988338,30.322336"
"ООО ""Энергосервис""","198095, г. Санкт-Петербург, Митрофаньевское шоссе, д. 2, корп. 1, офис 457","198095, г. Санкт-Петербург, Митрофаньевское шоссе, д. 2, корп. 1, офис 457",+7 (812) 438-28-30,energos56@mail.ru,http://energoservice-spb.ru/,"59.907428,30.300893"
"ООО ""Северо-Западная Управляющая Компания""","196084, г. Санкт-Петербург, ул.Цветочная, д.6","196084, г. Санкт-Петербург, ул.Цветочная, д.6",+7 (812) 387-35-33,nmakarova@viking.spb.ru,-,"59.893254,30.331014"
"ООО ""ПромИмпульс""","196084, г. Санкт-Петербург, ул.Рощинская, д.5, лит.И, офис 1","196084, г. Санкт-Петербург, ул.Рощинская, д.5, лит.И, офис 1",+7 (812) 603-73-77,office@promimpuls.ru,http://promimpuls.ru,"59.884591,30.326729"
"ООО ""Фирма ""РОСС""","191036, г. Санкт-Петербург, Гончарная ул., д. 23, пом. 5Н","191036, г. Санкт-Петербург, Гончарная ул., д. 23, пом. 5Н","+7 (812) 441-07-10, +7 (812) 441-0710",mail@firmaross.ru,http://www.firmaross.ru/,"59.928411,30.367746"
"ООО ""Газпром трансгаз Санкт-Петербург""","196128, г. Санкт-Петербург, ул. Варшавская, д. 3","196128, г. Санкт-Петербург, ул. Варшавская, д. 3","+7 (812) 455-12-00, +7 (812) 455-10-32",ltg@spb.ltg.gazprom.ru,http://www.firmaross.ru/,"59.881173,30.305268"
"АО ""ЛЕНФИЛЬМ""","197101, г. Санкт-Петербург, пр. Каменноостровский, д.10","197101, г. Санкт-Петербург, пр. Каменноостровский, д.10","+7 (812) 326-83-50, 232-83-74",info@lenfilm.ru,https://www.lenfilm.ru/,"59.958273,30.316982"
"ООО ""ТСК""","196158, г. Санкт-Петербург, Московское ш., 46, литера А","196158 г. Санкт-Петербург, Московское ш., 46, литера А",+7 (812) 336-85-02,info@tskcompany.com,https://tskcompany.com/,"59.818848,30.369938"
"ООО ""Квартальная котельная""","194156, г. Санкт-Петербург, проспект Энгельса, д. 27, лит. З","194156, г. Санкт-Петербург, проспект Энгельса, д. 27, лит. З",+7 (812) 303-80-60,kv-kotelnaya@yandex.ru,-,"60.005787,30.331652"
"АО ""ЛОМО""","194044, г. Санкт-Петербург, ул. Чугунная, д. 20","194044, г. Санкт-Петербург, ул. Чугунная, д. 20","+7 (812) 292-52-42, +7 (812) 542-1839",lomo@lomo.sp.ru,http://www.lomo.ru,"59.970173,30.356984"
"ОАО ""РЖД""","195009, г. Санкт-Петербург, ул.Комсомола, д. 37","195009, г. Санкт-Петербург, ул.Комсомола, д. 37","+7 (812) 457-72-58, +7 (812) 457-72-25",-,http://www.rzd.ru,"59.957111,30.358978"
"АО ""Компрессор""","194044, г. Санкт-Петербург, Б. Сампсониевский проспект, д. 64","194044, г. Санкт-Петербург, Б. Сампсониевский проспект, д. 64","+7 (812) 295-50-90, +7 (812) 596-33-97",Office@compressor.spb.ru,http://compressor.spb.ru,"59.976481,30.337985"
"ООО ""ЭнергоИнвест""","191186, г. Санкт-Петербург, Волынский пер., д.3а, лит.А","191186, г. Санкт-Петербург, Волынский пер., д.3а, лит.А",+7 (812) 363-28-12,larisa.vinokurova@pan.spb.ru,-,"59.938027,30.321105"
"ПАО Судостроительный завод ""Северная верфь""","198096, г. Санкт-Петербург, ул. Корабельная, д. 6","198096, г. Санкт-Петербург, ул. Корабельная, д. 6",+7 (812) 324-29-59,info@nordsy.spb.ru,http://www.nordsy.spb.ru,"59.874968,30.242"
"НАО ""СВЕЗА Усть-Ижора""","196643, г. Санкт-Петербург, пос. Понтонный, ул. Фанерная, д.5","196643, г. Санкт-Петербург, пос. Понтонный, ул. Фанерная, д.5","+7 (812) 462-20-89, +7 (812) 462-20-97",uifk.office@sveza.com,http://sveza.ru,"59.785065,30.616211"
"АО ""БИЗНЕС-ЦЕНТР ""АКВИЛОН""","194100, г. Санкт-Петербург, ул. Новолитовская, д. 15","194100, г. Санкт-Петербург, ул. Новолитовская, д. 15",+7 (812) 596-34-76,akvilonbc@yandex.ru,https://akvilon-bc.ru/,"59.980907,30.35569"
"ОАО ""ЛКХП Кирова""","192019, г. Санкт-Петербург, пр. Обуховской обороны, д. 45, лит.БС","192019, г. Санкт-Петербург, пр. Обуховской обороны, д. 45, лит.БС","+7 (812) 677-3787, +7 (812) 677-20-44",info@lkhp.ru,http://lkhp.ru,"59.907659,30.409275"
"ООО ""Троя""","196600, г. Санкт-Петербург, Пушкин, ул. Гусарская дом 4 литера Ц","196600, г. Санкт-Петербург, Пушкин, ул. Гусарская дом 4 литера Ц",+7 (812) 465-27-92,89217807090@mail.ru,-,"59.70535,30.390554"
"ООО ""МегаСтрой""","191028, г. Санкт-Петербург, ул.Моховая, д.26, лит.А","191028, г. Санкт-Петербург, ул.Моховая, д.26, лит.А","+7 (812) 746-49-53, +7 (812) 746-48-29",MegaStroy_2001@mail.ru,-,"59.941903,30.345548"
"ООО ""Балтийский завод""","199106, г. Санкт-Петербург, Косая линия, д.16, корп.1, литер Б","199106, г. Санкт-Петербург, Косая линия, д.16, корп.1, литер Б","+7 (812) 324-93-70, +7 (812) 327-71-90",zavod@bz.ru,https://www.bz.ru,"59.927621,30.258232"
"ООО ""Гофра - 2001""","196603, г. Санкт-Петербург, Пушкин, Красносельское шоссе, 14/28","196603, г. Санкт-Петербург, Пушкин, Красносельское шоссе, 14/28",+7 (812) 467-02-56,gofraomis@mail.ru,https://gofra-2001.ru,"59.701796,30.367503"
"ООО ""Степан Разин Девелопмент""","198035, г. Санкт-Петербург, ул. Степана Разина, д.9, лит. А","198035, г. Санкт-Петербург, ул. Степана Разина, д.9, лит. А",+7 (812) 449-04-90,-,-,"59.912414,30.266272"
"ООО ""ЮИТ Сервис""","197183, г. Санкт-Петербург, Приморский пр., д.54","197183, г. Санкт-Петербург, Приморский пр., д.54","+7 (812) 336-37-57, +7 (812) 313-32-18",-,https://spb.yitservice.ru,"59.983864,30.234436"
"ООО ""Институт Гипроникель""","195220, г. Санкт-Петербург, проспект Гражданский 11","195220, г. Санкт-Петербург, проспект Гражданский 11",+7 (812) 335-31-01,gn@nornik.ru,http://www.nickel.spb.ru,"60.000101,30.385856"
"АО ""Прядильно-ниточный комбинат ""Красная нить""","194044, г. Санкт-Петербург, ул. Гельсингфорсская, д. 3","194044, г. Санкт-Петербург, ул. Гельсингфорсская, д. 3",+7 (812) 542-94-57,info@krnit.ru,http://www.krnit.ru,"59.974941,30.337769"
"АО ""ВНИИРА""","199106, г. Санкт-Петербург, Шкиперский проток, д. 19","199106, г. Санкт-Петербург, Шкиперский проток, д. 19","+7 (812) 356-06-11, +7 (812) 352-37-55",nfo@vniira.ru,http://www.vniira.ru/,"59.934069,30.230124"
"ОАО ""Иван Федоров""","199155, г. Санкт-Петербург, Уральская ул., д.4, корпус литера Б","199155, г. Санкт-Петербург, Уральская ул., д.4, корпус литера Б","+7 (812) 655-05-17, +7 (812) 655-05-17 *1092",-,-,"59.949055,30.26744"
"ООО ""Технопарк №1""","191123, г. Санкт-Петербург, ул. Маяковского, д.45","191123, г. Санкт-Петербург, ул. Маяковского, д.45",+7 (812) 305-36-12,ukoffice@bk.ru,www.tpark1.ru,"59.943525,30.355843"
"ООО ""Таймс""","197110, г. Санкт-Петербург, Песочная наб., д. 40","197110, г. Санкт-Петербург, Песочная наб., д. 40",+7 (812) 740-22-77,piv@mtlgroup.ru,http://www.times.net.ru/,"59.96766,30.285406"
"АО ""Завод имени А.А.Кулакова""","197198, г. Санкт-Петербург, ул. Яблочкова, д. 12","197198, г. Санкт-Петербург, ул. Яблочкова, д. 12",+7 (812) 499-84-58,zav_kul@mail.ru,http://www.zavodkulakova.ru/,"59.950605,30.300974"
"ООО ""Теплоснабжающая компания 282""","197348, г. Санкт-Петербург, ул. Генерала Хрулёва, д.6","197348, г. Санкт-Петербург, ул. Генерала Хрулёва, д.6",+7 (812) 492-74-74,-,-,"59.99548,30.295665"
ФГБУН Институт прикладной астрономии Российской академии наук,"196140, г. Санкт-Петербург, Пулковское шоссе, д.65, корп.1","196140, г. Санкт-Петербург, Пулковское шоссе, д.65, корп.1",+7 (812) 704-24-27,-,http://iaaras.ru/,"59.771771,30.326217"
"ООО ""Энергогазмонтаж""","197198, г. Санкт-Петербург, ул.Маркина, д.16","197198, г. Санкт-Петербург, ул.Маркина, д.16",+7 (812) 329-55-22,egm@elso.ru,http://www.egmelso.ru,"59.956949,30.305034"
"АО ""ЦКБ МТ ""Рубин""","191119, г. Санкт-Петербург, ул. Марата, д. 90","191119, г. Санкт-Петербург, ул. Марата, д. 90","+7 (812) 494-15-56, +7 (812) 494-15-96",,,"59.917863,30.335442"
"Общество с ограниченной ответственностью                                   ""Ижорская  энергетическая компания""","196650, г. Санкт-Петербург, г. Колпино, Ижорский завод, дом б/н","196650, г. г. Санкт-Петербург, г. Колпино, Ижорский завод, дом б/н",+7 (812) 322-80-49,iec@omzglobal.com,http://izhek.ru,"59.763661,30.548056"
АО «КировТЭК»,"198097, г. Санкт-Петербург, пр. Стачек, д. 47, лит. О, пом. 1-Н","198097, г. г. Санкт-Петербург, пр. Стачек, д. 47, лит. О, пом. 1-Н",+7 (812) 326-55-75,-,http://kirovtek.ru,"59.877868,30.24615"
"Закрытое акционерное общество                                             ""Колпинская сетевая компания""","196653, г. Санкт-Петербург, город Колпино, Финляндская улица, дом 5","196653, г. Санкт-Петербург, город Колпино, Финляндская улица, дом 5",+7 (812) 322-82-54,-,http://kolnetcom.ru,"59.752127,30.593178"
"Публичное акционерное общество энергетики и электрификации ""Ленэнерго""","196247, г. Санкт-Петербург, пл. Конституции, д.1","196247, г. Санкт-Петербург, пл. Конституции, д.1",+7 (812) 595-86-62,service@lenenergo.ru,http://lenenergo.ru,"59.850509,30.304028"
"Общество с ограниченной ответственностью                                 ""Региональные электрические сети""","197342, г. Санкт-Петербург, ул.Белоостровская, д. 28, лит. А, помещение 15-Н","197342, г. Санкт-Петербург, ул.Белоостровская, д. 28, лит. А, помещение 15-Н",+7 (812)207-14-02,service@res-tso.ru,http://res-tso.ru,"59.987371,30.311412"
"Общество с ограниченной ответственностью                             ""Сетевое предприятие ""Росэнерго""","195176, г. Санкт-Петербург,ул.Панфилова, д.16А, лит.А","195176, г. Санкт-Петербург,ул.Панфилова, д.16А, лит.А","+7 (812) 249-91-91, +7 (812) 249-91-60",info@sprosenergo.ru,http://sprosenergo.ru,"59.952452,30.413407"
"ООО ""Электросетевая компания "" Энерджи""","197022, г. Санкт-Петербург, Аптекарская наб., д. 20, лит А","197022, г. Санкт-Петербург, Аптекарская наб., д. 20, лит А",+7 (812) 244-56-97,info@ecenergy.spb.ru,http://ecenergy.spb.ru,"59.978246,30.315464"
АО «ГСР Водоканал»,"196651, г. Санкт-Петербург, КОЛПИНО, УЛ ФИНЛЯНДСКАЯ, д. 5","196651, г. Санкт-Петербург, КОЛПИНО, УЛ ФИНЛЯНДСКАЯ, д. 5","+7 (812) 339-37-36, +7 (812) 339-30-42",info@gsrenergy.ru,http://www.gsrenergy.ru,"59.752127,30.593178"
"АО ""Ленгаз-Эксплуатация""","192019, г. Санкт-Петербург г, ул. Седова, д. 9, литер Щ","192019, г. Санкт-Петербург г, ул. Седова, д. 9, литер Щ",+7 (812) 458-54-01,office@lengaz-expl.ru,www.lengaz-expl.ru,"59.902181,30.39545"
"АО ""ПЕТЕРБУРГСКАЯ СБЫТОВАЯ КОМПАНИЯ""","195009, г. Санкт-Петербург, ул Михайлова, д. 11","195009, г. Санкт-Петербург, ул Михайлова, д. 11",+7 (812) 336-69-69,office@pesc.ru,www.pesc.ru,"59.955539,30.361844"
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕТРОЭЛЕКТРОСБЫТ""","195009, г. Санкт-Петербург г, ул. Михайлова, д. 11","195009, г. Санкт-Петербург г, ул. Михайлова, д. 11",+7 (812) 679-22-22,office@pes.spb.ru,http://pes.spb.ru/,"59.955539,30.361844"
ГАО РАН,"196140, г. Санкт-Петербург, ш Пулковское, д. 65, к. 1","196140, г. Санкт-Петербург, ш Пулковское, д. 65, к. 1",+7 (812) 363-74-00,map@gaoran.ru,www.gaoran.ru,"59.771771,30.326217"
"ГУП ""Водоканал Санкт-Петербурга""","191015, г. Санкт-Петербург, УЛИЦА КАВАЛЕРГАРДСКАЯ, д. 42","191015, г. Санкт-Петербург, УЛИЦА КАВАЛЕРГАРДСКАЯ, д. 42",+7 (812) 305-09-09,office@vodokanal.spb.ru,www.vodokanal.spb.ru,"59.950555,30.382622"
ЖСК - 1076,"192288, г. Санкт-Петербург, ул Малая Бухарестская, д. 3","192288, г. Санкт-Петербург, ул Малая Бухарестская, д. 3",+7 (921) 328-94-73,gsk1076@mail.ru,-,"59.849862,30.410892"
ЖСК №697,"198260, г. Санкт-Петербург, ул Козлова, д. 23, к. 1, кв. 48","198260, г. Санкт-Петербург, ул Козлова, д. 23, к. 1, кв. 48",+7 (812) 6900085,gsk697@yandex.ru,-,"59.837264,30.220099"
"ЖСК ""ГОРНЯК""","196244, г. Санкт-Петербург, УЛИЦА БАССЕЙНАЯ, д. ДОМ 83","196244, г. Санкт-Петербург, УЛИЦА БАССЕЙНАЯ, д. ДОМ 83",+7 (812) 379-61-54,mohovura@gmail.com,-,"59.864548,30.349564"
"ЗАО ""ГАЗПРОМ МЕЖРЕГИОНГАЗ Санкт-Петербург""","190000, г. Санкт-Петербург, УЛ ГАЛЕРНАЯ, д. 20-22, ЛИТ.А","190000, г. Санкт-Петербург, УЛ ГАЛЕРНАЯ, д. 20-22, ЛИТ.А",+7 (812) 605-09-48,hasiev_av@mrg.spb.ru,www.peterburgregiongas.ru,"59.933983,30.29712"
"ОАО ""ДЕРЕВООБРАБАТЫВАЮЩИЙ ЗАВОД № 2""","195248, г. Санкт-Петербург г, ул. Бокситогорская, д. 9","195248, г. Санкт-Петербург г, ул. Бокситогорская, д. 9",+7 (812) 222-30-49,doz-2@mail.ru,-,"59.945626,30.449636"
АО «Компонент»,"194021, Россия, г. Санкт-Петербург, ул. Политехническая, д. 28","194021, Россия, г. Санкт-Петербург, ул. Политехническая, д. 28",+7 (812) 565 43 37,client@componentltd.ru,https://componentltd.ru,"60.007834,30.368527"
"ОАО НПК ""Северная заря""","194100, г. Санкт-Петербург, УЛ КАНТЕМИРОВСКАЯ, д. 7","194100, г. Санкт-Петербург, УЛ КАНТЕМИРОВСКАЯ, д. 7",+7 (812) 677-35-00,general@relays.ru,https://relays.ru/,"59.983027,30.33308"
"ООО ""АЛГОРИТМ ДЕВЕЛОПМЕНТ""","194354, г. Санкт-Петербург, УЛ ЕСЕНИНА, д. ДОМ 1, ЛИТ.А","194354, г. Санкт-Петербург, УЛ ЕСЕНИНА, д. ДОМ 1, ЛИТ.А",+7 (812) 209-09-09,irinabishko@gmail.com,https://алгоритмжизни.рф/,"60.027116,30.329433"
"ООО ""ГАЗПРОМ МЕЖРЕГИОНГАЗ Санкт-Петербург""","190000, г. Санкт-Петербург, УЛИЦА ГАЛЕРНАЯ, д. ДОМ 20-22, ЛИТ. А","190000, г. Санкт-Петербург, УЛИЦА ГАЛЕРНАЯ, д. ДОМ 20-22, ЛИТ. А",+7 (812) 324-51-90,prg@mrg.spb.ru,https://www.peterburgregiongaz.ru/,"59.933983,30.29712"
"ООО ""КОММУНАЛЬНОЕ ХОЗЯЙСТВО""","196641, г. Санкт-Петербург, Металлострой, проезд Центральный, д.2","196641, г. Санкт-Петербург, Металлострой, проезд Центральный, д. 2",+7 (812) 331-84-78,osipov.mst@yandex.ru,info@vkhzao.ru,"59.794786,30.554362"
"ООО ""ЛЕММИНКЯЙНЕН СЕРВИС""","197374, г. Санкт-Петербург, ПРОСПЕКТ ПРИМОРСКИЙ, д. ДОМ 54, ЛИТЕР А","197374, г. Санкт-Петербург, ПРОСПЕКТ ПРИМОРСКИЙ, д. ДОМ 54, ЛИТЕР А",+7 (812) 677-70-06,yit.service@yit.ru,www.yitservice.ru,"59.983864,30.234436"
"ООО ""СЕРИТОР""","195274, г. Санкт-Петербург, ПРОСПЕКТ КУЛЬТУРЫ, д. 25","195274, г. Санкт-Петербург, ПРОСПЕКТ КУЛЬТУРЫ, д. 25",,seritor@mail.ru,-,"60.048207,30.379469"
"ООО ""СКВ""","196191, г. Санкт-Петербург, ПЛ КОНСТИТУЦИИ, д.7, ЛИТЕР А","196191, г. Санкт-Петербург, ПЛ КОНСТИТУЦИИ, д.7, ЛИТЕР А",+7 (812) 320-48-27,sofronova@energo-vympel.ru,energo-vympel.ru,"59.850988,30.308259"
"ООО ""СК-СИГМА""","199106, г. Санкт-Петербург, линия 27-Я В.О., д. 10, ЛИТЕР А","199106, г. Санкт-Петербург, линия 27-Я В.О., д. 10, ЛИТЕР А",,kirill@firmaross.ru,http://sk-sigma.webnode.ru/,"59.930327,30.257567"
"ООО ""СЛАВЭНЕРГО""","196608, г. Санкт-Петербург, ПУШКИН, Шоссе ПОДБЕЛЬСКОГО, д.7","196608, г. Санкт-Петербург, ПУШКИН, Шоссе ПОДБЕЛЬСКОГО, д.7",+7 (812) 325-02-46,slavenergo@baltros.ru,-,"59.727163,30.431364"
"ООО ""Софийский бульвар""","197022, г. Санкт-Петербург, Аптекарская, д. 20, лит. А","197022, г. Санкт-Петербург, Аптекарская, д. 20, лит. А",+7 (812) 490-33-57,mishinatvk_lesnoe@mail.ru,-,"59.978246,30.315464"
"ООО ""ТРАНСНЕФТЬ - БАЛТИКА""","195009, г. Санкт-Петербург, НАБЕРЕЖНАЯ АРСЕНАЛЬНАЯ, д. 11","195009, г. Санкт-Петербург, НАБЕРЕЖНАЯ АРСЕНАЛЬНАЯ, д. 11",+7 (812) 380-62-25,baltneft@spb.transneft.ru,http://baltneft.transneft.ru/,"59.953164,30.359544"
"ООО""ЭНЕРГИЯ""","190020, г. Санкт-Петербург, ул Бумажная, д. 9, к. 1","190020, г. Санкт-Петербург, ул Бумажная, д. 9, к. 1",+7 (812) 550-09-83,sotnikov@heatuniv.ru,www.heatuniv.ru,"59.905312,30.270629"
"СПК ""ПЛЕМЗАВОД ""ДЕТСКОСЕЛЬСКИЙ""","196634, г. Санкт-Петербург, Шушары, ул Центральная (Детскосельский), д.17, ЛИТ.А","196634, г. Санкт-Петербург, Шушары, ул Центральная (Детскосельский), д.17, ЛИТ.А",+7 (812) 334-04-77,agro@detskoselsky.ru,http://www.detskoselsky.ru,"59.726624,30.465096"
СПБ ГБУ Ленсвет,"190068, г. Санкт-Петербург, Вознесенский пр. д. 25, лит А","190068, г. Санкт-Петербург, Вознесенский пр. д. 25, лит А","+7 (812) 321-64-71, +7 (812) 321-64-72",lensvet@lensvet.com,http://www.lensvet.spb.ru,"59.926115,30.307855"
"ООО ""КТК""","196651, г. Санкт-Петербург, г. Колпино, Финляндская улица, дом 5","196651, г. Санкт-Петербург, г. Колпино, Финляндская улица, дом 5","+7 (812) 339-30-41, +7 (812) 33937-36, +7 (812)339-30-42",info@gsrenergy.ru,http://www.gsrenergy.ru/,"59.752127,30.593178"
АО «61 БТРЗ»,"Санкт-Петербург, посёлок Стрельна, Заводская дорога, дом 11, литера В","Санкт-Петербург, посёлок Стрельна, Заводская дорога, дом 11, литера В",+7 (812) 383-54-56,61baza@mail.ru,http://61btrz.ru/,"59.849099,29.999059"
АО «Асфальтобетонный Завод «Магистраль»,"195213, Санкт-Петербург, ул. Ванеева, д. 6","195213, Санкт-Петербург, ул. Ванеева, д. 6",+7 (812) 444-58-94,ABZ-Magistral@mail.ru,www.abz-magistral.ru,"59.92878,30.440411"
АО «Василеостровская Фабрика»,"199178, город Санкт-Петербург, набережная реки Смоленки, дом 19/21, литер В","199178, город Санкт-Петербург, набережная реки Смоленки, дом 19/21, литер В",+7 (812) 331-23-32,vofabrika@mail.ru,https://vofabrika.spb.ru/,"59.949244,30.258493"
АО «Водтрансприбор»,"197342, г. Санкт-Петербург, ул. Сердобольская, д.64","197342, г. Санкт-Петербург, ул. Сердобольская, д.64",+7 (812) 496-24-29,vodtranspribor@inbox.ru,https://vodtranspribor.ru,"59.985966,30.316883"
АО «ГОИ им. С. И. Вавилова»,"192171, Санкт-Петербург, ул. Бабушкина, д. 36, корпус 1","192171, Санкт-Петербург, ул. Бабушкина, д. 36, корпус 1",+7 812 386-73-16,info@goi.ru,http://goi.ru,"59.880265,30.439746"
АО «Завод слоистых пластиков»,"195248, Санкт-Петербург, шоссе Революции, 84","195248, Санкт-Петербург, шоссе Революции, 84",+7 (812) 336-96-18,info@zsp.spb.ru,https://zsp.spb.ru/,"59.961251,30.452789"
АО «АТЭК»,"198097, г. Санкт-Петербург улица Трефолева, дом 2, литер АО","198097, г. Санкт-Петербург улица Трефолева, дом 2, литер АО",+7 (812) 459-45-80,zao.atek@mail.ru,http://atek.spb.ru,"59.883322,30.284463"
АО «Аэропорт «Пулково»,"196140, Санкт-Петербург, Пулковское шоссе, 41, лит З А","196140, Санкт-Петербург, Пулковское шоссе, 41, лит З А",+7 (812) 612-05-10,office@airport-spb.ru,https://pulkovoairport.ru/,"59.799535038387766,30.273709756713888"
АО «Завод ЭЛЕКТРОПУЛЬТ»,"195030, г. Санкт-Петербург, ул. Электропультовцев, д. 7","195030, г. Санкт-Петербург, ул. Электропультовцев, д. 7",+7 (812) 603-22-35,ep@electropult.ru,https://electropult.ru,"59.967115,30.464072"
АО «Кожа»,"199155, Санкт-Петербург, пер. Декабристов, 7","199155, Санкт-Петербург, переулок Декабристов, 7",+7 (812) 600-85-41,office@koja-spb.ru,koja-spb.ru,"59.952948,30.250435"
АО «Конструкторское бюро специального машиностроения»,"192012, Санкт-Петербург, пр. Обуховской обороны, д. 120","192012, Санкт-Петербург, пр. Обуховской обороны, д. 120",+7 (812) 665-56-00,office@kbsm.su,http://kbsm.su,"59.8582,30.488542"
АО «Кронштадтский морской завод»,"197762, Россия, Санкт-Петербург, г. Кронштадт,  ул. Петровская, д.2, лит. Ж","197762, Россия, Санкт-Петербург, г. Кронштадт,  ул. Петровская, д.2, лит. Ж",+7 (812) 435-21-01,info@kmolz.ru,https://kmolz.ru,"59.983774,29.782053"
АО «Ленпромгаз»,"192019, г. Санкт-Петербург, ул. Седова, д. 9 лит. Щ","192019, г. Санкт-Петербург, ул. Седова, д. 9 лит. Щ",+7 (812) 641-51-27,office@lenpromgaz.ru,https://www.lenpromgaz.ru,"59.902181,30.395459"
АО «Морской порт Санкт-Петербург»,"198035, Санкт-Петербург, Межевой канал, д.5","198035, Санкт-Петербург, Межевой канал, д.5",+7 (812) 714-99-27,info@seaport.spb.ru,https://seaport.spb.ru,"59.911214,30.25074"
АО «НИИ командных приборов»,"198216, Россия, Санкт-Петербург, Трамвайный проспект, дом 16","198216, Россия, Санкт-Петербург, Трамвайный проспект, дом 16",+7 (812) 376-85-85,info@niikp.spb.ru,https://niikp.spb.ru,"59.85473,30.268832"
АО «НПП «Краснознаменец»,"195043 Санкт-Петербург, ул.Челябинская, д.95","195043 Санкт-Петербург, ул.Челябинская, д.95",+7 (812) 456 64 77,info@krzn.ru,https://www.krzn.ru/,"59.986817,30.503086"
