Район,Наименование организации,Сокращенное наименование,Адрес,Руководитель,Телефон,Факс,Электронная почта,Муниципальное образование,ИНН,ОГРН,Примечание
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 133 с углубленным изучением иностранных языков Красногвардейского района Санкт-Петербурга,ГБОУ средняя школа № 133 с углубленным изучением иностранных языков Санкт-Петербурга,"г.Санкт-Петербург, улица Петра Смородина, дом 10, литера А",Паршев Алексей Геннадьевич,+7(812)417-24-54,+7(812)417-24-54,Oо-school-133@yandex.ru,«Большая Охта»,7806103981,1037816030966,Http://school133.edusite.ru/
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 141 Красногвардейского района Санкт-Петербурга,ГБОУ средняя общеобразовательная школа № 141 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, улица Коммуны, дом 32, корпус 4, литера А",Цветкова Юлия Викторовна,+7(812)417-30-23,+7(812)417-30-22,School-141@list.ru,«Ржевка»,7806103759,1037816029393,Http://school141spb.ru/
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 160 с углубленным изучением английского языка Красногвардейского района Санкт-Петербурга,ГБОУ СОШ №160 Санкт-Петербурга,"г.Санкт-Петербург, проспект Металлистов, дом 23, корпус 1, литера А",Хорькова Валентина Николаевна,+7(812)222-56-46,+7(812)222-56-46,Gou160@mail.ru,«Большая Охта»,7806105273,1027804187971,Gou160.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 188 с углубленным изучением мировой художественной культуры Красногвардейского района Санкт-Петербурга,ГБОУ школа № 188 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, улица Маршала Тухачевского, дом 17, литера А",Ежкова Ирина Борисовна,+7(812)417-25-74,+7(812)417-25-24,Oo-school-188@yandex.ru,«Полюстрово»,7806057911,1037816002950,Www.spb188school.ucoz.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 191 с углубленным изучением иностранных языков Красногвардейского района Санкт-Петербурга,ГБОУ СОШ № 191 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, Белорусская улица, дом 26, корпус 2, литера А",Бабак Светлана Андреевна,+7(812)417-21-44,+7(812)417-21-44,School191r@mail.ru,«Пороховые»,7806059267,1037816031032,Www.191spb.edusite.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 233 с углубленным изучением иностранных языков Красногвардейского района Санкт-Петербурга,ГБОУ средняя школа № 233 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, проспект Косыгина, дом 25, корпус 2, литера А",И.о. Попова Надежда Сергеевна,+7(812)417-29-05,+7(812)417-29-08,School233-spb@mail.ru,«Пороховые»,7806040594,1027804187950,Http://www.shkola233.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 490 с углубленным изучением иностранных языков Красногвардейского района Санкт-Петербурга,ГБОУ средняя школа № 490 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, Новочеркасский проспект, дом 50, корпус 3, литера А",Александрова Наталья Борисовна,+7(812)417-29-12,+7(812)417-29-13,Sc490krasnogvard@mail.ru,«Малая Охта»,7806039670,1027804187894,Sc490-spb.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 521 с углубленным изучением математики и информатики Красногвардейского района Санкт-Петербурга,ГБОУ средняя школа № 521 Санкт-Петербурга,"г.Санкт-Петербург, проспект Маршала Блюхера, дом 44, корпус 2, литера А",Дудникова Галина Борисовна,+7(812)417-29-15,+7(812)417-29-15,School521@mail.ru,«Полюстрово»,7806057799,1037816001706,Http://school521.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 532 Красногвардейского района Санкт-Петербурга,ГБОУ средняя школа №532 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, Большая Пороховская улица, дом 38, литера А",Караванская Ольга Викторовна,+7(812)222-97-44,+7(812)222-97-44,Shckola532@yandex.ru,«Большая Охта»,7806029223,1037816029460,Www.532-school.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 562 Красногвардейского района Санкт-Петербурга,ГБОУ СОШ №562 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, Ириновский проспект, дом 17, корпус 5, литера А",Пальченкова Галина Николаевна,+7(812)417-51-01,+7(812)417-51-01,Sekret562@mail.ru,«Пороховые»,7806104142,1027804182471,562spb.edusite.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 129 Красногвардейского района Санкт-Петербурга,ГБОУ школа №129 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, Большая Пороховская улица, дом 8, литера А",Заржевская Ирина Аркадьевна,+7(812)417-54-10,+7(812)417-54-10,Sh129@mail.ru,«Большая Охта»,7806103854,1037816030922,Http://school129spb.ucoz.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 134 Красногвардейского района Санкт-Петербурга имени Сергея Дудко,ГБОУ средняя общеобразовательная школа №134 Санкт-Петербурга имени Сергея Дудко,"г.Санкт-Петербург, Отечественная улица, дом 5, литера А",Никифорова Марина Анатольевна,+7(812)526-65-66,+7(812)526-65-66,Mail@school-134.ru,«Ржевка»,7806029689,1037816004335,School-134.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 140 Красногвардейского района Санкт-Петербурга,ГБОУ школа №140 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, Большеохтинский проспект, дом 18, корпус 1, литера А",Ростунова Елена Михайловна,+7(812)417-26-50,+7(812)417-26-50,Oo-school-140@yandex.ru,«Большая Охта»,7806147650,1037816055518,Www.school140.3dn.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №143 с углубленным изучением английского языка Красногвардейского района Санкт-Петербурга,ГБОУ средняя школа № 143 Санкт-Петербурга,"г.Санкт-Петербург, Синявинская улица, дом 15, литера А",И.о. Ким Алексей Евгеньевич,+7(812)227-31-48,+7(812)227-31-48,S143spb@mail.ru,«Большая Охта»,7806109359,1037816031000,Http://school143.edusite.ru/
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №147 Красногвардейского района Санкт-Петербурга,ГБОУ средняя школа № 147 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, Индустриальный проспект, дом 10, корпус 2, литера А",Кожемякина Марина Михайловна,+7(812)520-26-20,+7(812)520-40-34,School-147.spb@mail.ru,«Пороховые»,7806081110,1037816003664,Www.147spb.edusite.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №151 Красногвардейского района Санкт-Петербурга,ГБОУ средняя школа №151 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, Хасанская улица, дом 14, корпус 2, литера А",Ульянова Наталья Николаевна,+7(812)417-24-80,+7(812)417-24-80,School151-2007@yandex.ru,«Пороховые»,7806049124,1027804182581,Http://school151.edusite.ru/
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №152 Красногвардейского района Санкт-Петербурга,ГБОУ школа № 152 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, улица Стахановцев, дом 15, корпус 2, литера А",Клименко Руслан Юрьевич,+7(812)444-02-40,+7(812)444-02-40,Gou_152@mail.ru,«Малая Охта»,7806103861,1037816029426,School152spb.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №164 Красногвардейского района Санкт-Петербурга,ГБОУ средняя школа №164 Санкт-Петербурга,"г.Санкт-Петербург, проспект Косыгина, дом 28, корпус 3, литера А",Железнов Юрий Иванович,+7(812)400-26-55,+7(812)400-26-55,School164.spb@mail.ru,«Ржевка»,7806039648,1027804188015,Http://164spb.edusite.ru/
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №180 с углубленным изучением английского языка Красногвардейского района Санкт- Петербурга,ГБОУ СОШ № 180 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, улица Маршала Тухачевского, дом 29, литера А",Тронова Наталия Александровна,+7(812)225-31-42,+7(812)225-31-42,School180@inbox.ru,«Полюстрово»,7806058305,1027804197398,Http://school180.edusite.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №182 Красногвардейского района Санкт-Петербурга,ГБОУ средняя школа № 182 Санкт-Петербурга,"г.Санкт-Петербург, проспект Наставников, дом 11, корпус 2, литера А",Адамович Виктория Владимировна,+7(812)417-24-74,+7(812)417-24-74,Gou182@mail.ru,«Пороховые»,7806044119,1037816037775,Www.school182.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №187 Красногвардейского района Санкт-Петербурга,ГБОУ средняя школа № 187 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, проспект Энтузиастов, дом 46, корпус 3, литера А",Александрова Людмила Анатольевна,+7(812)417-24-97,+7(812)417-24-97,School-187@yandex.ru,«Ржевка»,7806040080,1037816003686,Http://sch187.petersburgedu.ru/
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №195 Красногвардейского района Санкт-Петербурга,ГБОУ средняя школа №195 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, проспект Энтузиастов, дом 47, корпус 2, литера А",И.о. Никулина Наталья Алексеевна,+7(812)520-10-11,+7(812)520-10-11,Zav195@mail.ru,«Ржевка»,7806044327,1037816029492,Www.school195spb.narod.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №349 с углубленным изучением английского языка Красногвардейского района Санкт-Петербурга,ГБОУ средняя школа № 349 Санкт-Петербурга,"г.Санкт-Петербург, улица Осипенко, дом 5, корпус 2, литера А",Прибыткина Галина Николаевна,+7(812)520-62-11,+7(812)520-62-11,Prib349@mail.ru,«Пороховые»,7806042898,1027804187927,Www.gou349.spb.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №491 с углубленным изучением математики Красногвардейского района Санкт-Петербурга,ГБОУ средняя школа №491 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, проспект Шаумяна, дом 36, литера А",Коганкова Виктория Александровна,+7(812)444-75-26,+7(812)444-75-26,491school.spb@mail.ru,«Малая Охта»,7806039285,1037816037797,Http://491shkola.spb.ru/
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №515 с углубленным изучением иностранных языков имени Иоганна Вольфганга Гёте (Гётешуле) Красногвардейского района Санкт-Петербурга,ГБОУ средняя общеобразовательная школа №515,"г.Санкт-Петербург, Шепетовская улица, дом 5, литера А",Монахова Ирина Евгеньевна,+7(812)224-20-31,+7(812)224-20-31,Mail@gou515.spb.ru,«Большая Охта»,7806039983,1037816019317,Gou515.spb.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №531 Красногвардейского района Санкт-Петербурга,ГБОУ СОШ № 531 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, улица Осипенко, дом 8, литера А",И.о. Тихонова Надежда Олеговна,+7(812)291-69-01,+7(812)291-69-01,Gou531@mail.ru,«Пороховые»,7806413888,1097847194939,Www.school531.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение школа №3 Красногвардейского района Санкт-Петербурга,ГБОУ школа №3 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, Таллинская улица, дом 18, литера А",Ергогло Галина Харлампьевна,+7(812)444-23-48,+7(812)444-23-48,School3spb@mail.ru,«Малая Охта»,7806057929,1027804187905,Http://cor003krgv.petersburgedu.ru/
Красногвардейский,Государственное бюджетное общеобразовательное учреждение школа №499 Красногвардейского района Санкт-Петербурга,ГБОУ школа №499 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, Весенняя улица, дом 10, литера А",Жуков Андрей Викторович,+7(812)417-31-09,+7(812)417-31-09,School499@mail.ru,«Малая Охта»,7806104086,1027804187840,Shkola499.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение школа №609 Красногвардейского района Санкт-Петербурга,ГБОУ школа № 609 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, Новочеркасский проспект, дом 44, корпус 2, литера А",Дорохова Марина Владимировна,+7(812)417-53-75,+7(812)417-53-73,Gskou-shkola609@rambler.ru,«Малая Охта»,7806058150,1037816029415,Www.gskou-shkola609.narod.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение школа-интернат № 1 имени К.К.Грота Красногвардейского района Санкт-Петербурга,ГБОУ школа-интернат № 1 имени К.К.Грота,"г.Санкт-Петербург, проспект Шаумяна, дом 44, литера А",Мухин Алексей Викторович,+7(812)444-39-56,+7(812)444-39-56,Grot-school@mail.ru,«Малая Охта»,7806039687,1027804177037,Www.grot-school.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение школа-интернат № 6 Красногвардейского района Санкт-Петербурга,ГБОУ школа-интернат № 6 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, Большая Пороховская улица, дом 52, литера А",Путилова Валентина Андреевна,+7(812)417-25-71,+7(812)227-19-30,Int62008@yandex.ru,«Большая Охта»,7806103974,1027804187850,Int6.ru
Красногвардейский,"Частное образовательное учреждение среднего общего образования ""Лицей АРИСТОС""","ЧОУ СОО ""Лицей АРИСТОС""","г.Санкт-Петербург, Большая Пороховская улица, дом 52, корпус 2, литера А",Калинин Олег Владимирович,+7(812)227-13-75,+7(812)227-13-75,Aristos@mail.ru,«Большая Охта»,7825411156,1037869004140,Www.aristos-spb.ru
Красногвардейский,"Частное общеобразовательное учреждение ""Гимназия имени Александра Невского""","ЧОУ ""Гимназия имени Александра Невского""","г.Санкт-Петербург, Индустриальный проспект, дом 10, корпус 2, литера А",Мазур Вера,+7(953)370-30-17,,Info@an-gimnaz.ru,«Пороховые»,7806113860,1037816004126,An-gimnaz.ru
Красногвардейский,"Частное общеобразовательное учреждение ""Немецкая гимназия ""Петершуле""","ЧОУ Гимназия ""Петершуле""","г.Санкт-Петербург, Заневский проспект, дом 53, корпус 2, литера А",Юпатова Елена Александровна,+7(812)444-79-76,+7(812)444-79-76,Peterschule@yandex.ru,«Малая Охта»,7806056019,1037816006975,Www.peterschule.ru
Красногвардейский,"Государственное бюджетное нетиповое образовательное учреждение центр психолого-педагогической медицинской и социальной помощи Красногвардейского района Санкт-Петербурга ""Школа здоровья и индивидуального развития""","ГБНОУ ""Школа здоровья и индивидуального развития"" Красногвардейского района Санкт-Петербурга","г.Санкт-Петербург, Хасанская улица, дом 18, корпус 3, литера А",Тихашин Сергей Анатольевич,+7(812)524-15-35,+7(812)417-23-61,Clpdo@list.ru,«Ржевка»,7806321997,1057812376720,Www.clpdospb.narod.ru
Невский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 13 углубленным изчением английского языка Невского района Санкт-Петербурга,ГБОУ СОШ №13 с углубленным изучением английского языка Невского района Санкт-Петербурга,"193230, Санкт-Петербург, улица Дыбенко, дом 17, корпус 3, литер Ж",Харчилава Елена Васильевна,585-33-28,585-33-28,school13spb@obr.gov.spb.ru,МО №54,7811022706,1037825019594,
Невский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 14 Невского района Санкт-Петербурга,ГБОУ Школа №14 Невского района Санкт-Петербурга,"193232, Санкт-Петербург, улица Крыленко, дом 25, корпус 5, литер В",Широкова Светлана Владимировна,586-69-71,586-69-71,info.shk14nev@obr.gov.spb.ru,МО №54,7811022713,1037825019616,
Невский,Государственное бюджетное общеобразовательное учреждение школа № 17 Невского района Санкт-Петербурга,ГБОУ школа №17 Невского района Санкт-Петербурга,"192131, Санкт-Петербург, улица Бабушкина, дом 58, корпус 1, литер В",Сандеева Светлана Владимировна,362-03-77,362-03-77,Info.sc17@obr.gov.spb.ru,МО Обуховский,7811022671,1027806069543,
Невский,Государственное бюджетное общеобразовательное учреждение школа-интернат № 18 Невского района Санкт-Петербурга,ГБОУ школа- интернат №18 Невского района Санкт-Петербурга,"192174, Санкт-Петербург, улица Шелгунова, дом 5а",Дорофеева Татьяна Владимировна,362-06-87,362-06-87,internat18@obr.gov.spb.ru,МО Обуховский,7811066848,1027806084987,
Невский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 20 Невского района Санкт-Петербурга,ГБОУ школа №20 Невского района Санкт-Петербурга,"193232, Санкт-Петербург, проспект Большевиков, дом 23, литер Ч",Лытко Татьяна Ивановна,585-42-81,585-42-81,gbou20@obr.gov.spb.ru,МО №54,7811022720,1037825019650,
Невский,Государственное бюджетное общеобразовательное учреждение школа-интернат № 22 Невского района Санкт-Петербурга,ГБОУ школа- интернат №22 Невского района Санкт-Петербурга,"192012, Санкт-Петербург, улица Чернова, дом 13, лит. А",Иванова Ирина Юрьевна,367-29-51,362-19-00,info.int22@obr.gov.spb.ru,МО Обуховский,7811022921,1037825009133,
Невский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 23 углубленным изчением финского языка Невского района Санкт-Петербурга,ГБОУ школа №23 с углубленным изучением финского языка Невского района Санкт-Петербурга,"193168, Санкт-Петербург, улица Дыбенко, дом 20, корпус 4, литер Ф",Бондарчук Тамара Игоревна,588-79-10,588-79-10,info.sch23@obr.gov.spb.ru,МО Невский округ,7811044812,1027806079201,
Невский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 26 углубленным изчением французского языка Невского района Санкт-Петербурга,ГБОУ школа №26 с углубленным изучением французского языка Невского района Санкт-Петербурга,"193231, Санкт-Петербург, Товарищеский проспект, дом 28, корпус 2, литер А",Семёнова Елена Евгеньевна,584-18-36,584-18-36,info.sch26@obr.gov.spb.ru,МО Оккервиль,7811005683,1037825013820,
Невский,Государственное бюджетное общеобразовательное учреждение школа-интернат № 31 Невского района Санкт-Петербурга,ГБОУ школа - интернат №31 Невского района Санкт-Петербурга,"192029, Санкт-Петербург, проспект Елизарова, дом 7, литер А",Светличный Ярослав Алексеевич,417-21-00,417-21-00,info.in31@obr.gov.spb.ru,МО Невская застава,7811042332,1037825005096,
Невский,Государственное бюджетное общеобразовательное учреждение школа № 34 Невского района Санкт-Петербурга,ГБОУ школа №34 Невского района Санкт-Петербурга,"193231, Санкт-Петербург, улица Коллонтай, дом 27, корпус 4, литер А",Сергеева Татьяна Александровна,584-95-13,584-95-13,gbou.shkola34@obr.gov.spb.ru,МО Невский округ,7811022738,1027806070038,
Невский,"Государственное бюджетное общеобразовательное учреждение школа № 34 Невского района Санкт-Петербурга (ул. Шотмана, д. 12, корпус 3, литер Ц)",ГБОУ школа №34 Невского района Санкт-Петербурга,"193232, Санкт-Петербург, улица Шотмана, дом 12, корпус 3, литер Ц",Сергеева Татьяна Александровна,584-95-13,584-95-13,gbou.shkola34@obr.gov.spb.ru,МО Невский округ,7811022738,1027806070038,
Невский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 39 Невского района Санкт-Петербурга,ГБОУ школа №39 Невского района Санкт-Петербурга,"193149,Санкт-Петербург, Октябрьская наб., дом 118, корпус 9, литер А",Щепихина Любовь Николаевна,441-12-03,441-12-03,vakhrusheva.shk39@obr.gov.spb.ru,МО Народный,7811022745,1027806071457,
Невский,Государственное бюджетное общеобразовательное учреждение Центр образования № 133 Невского района Санкт-Петербурга,ГБОУ ЦО №133 Невского района Санкт-Петербурга,"192019, Санкт-Петербург, улица Слободская, дом 5, литер А;",и.о. директора Муратова Юлия Константиновна,412-94-45,412-94-45,info.co133@obr.gov.spb.ru,МО Невская застава,7811022752,1027806066056,
Невский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №268  Невского района Санкт-Петербурга,ГБОУ Школа №268 Невского района Санкт-Петербурга,"193231, Санкт-Петербург, проспект Большевиков, дом 4, корпус 2, литер А",Смирнова Александра Викторовна,589-27-05,589-27-05,info.sch268@obr.gov.spb.ru,МО Оккервиль,7811066862,1037825013148,
Невский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 323 Невского района Санкт-Петербурга,ГБОУ СОШ №323 Невского района Санкт-Петербурга,"193312, Санкт-Петербург, проспект Солидарности, дом 1, корпус 2, литер А",Флоренкова Людмила Александровна,583-41-05,583-41-05,info.sch323@obr.gov.spb.ru,МО Правобережный,7811066870,1027806080367,
Невский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 326 Невского района Санкт-Петербурга,ГБОУ школа №326 Невского района Санкт-Петербурга,"192174 , Санкт-Петербург, проспект Александровской фермы, дом 11, литер П",Николаева Алла Юрьевна,362-31-47,362-31-47,info.school326@obr.gov.spb.ru,МО Обуховский,7811022760,1037825017603,
Невский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 327 Невского района Санкт-Петербурга,ГБОУ школа №327 Невского района Санкт-Петербурга,"192029, Санкт-Петербург, улица Ткачей, дом 9, лит. А",Ибрагимова Ирина Юрьевна,412-22-91,412-22-91,info.shkola327@obr.gov.spb.ru,МО Невская застава,7811022777,1037825019506,
Невский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 328 углубленным изчением английского языка Невского района Санкт-Петербурга,ГБОУ школа №328 с углубленным изучением английского языка Невского района Санкт-Петербурга,"192131, Санкт-Петербург, улица Бабушкина, дом 56, корпус 1, литер А",Молчанова Ирина Борисовна,362-45-37,362-45-37,molchanova.sch328@obr.gov.spb.ru,МО Обуховский,7811022784,1037825019891,
Невский,Государственное бюджетное общеобразовательное учреждение лицей № 329 Невского района Санкт-Петербурга,ГБОУ лицей №329 Невского района Санкт-Петербурга,"192029, Санкт-Петербург, проспект Елизарова, дом 7, литера Б",Беляева Ольга Александровна,417-27-18,417-27-18,info.lic329@obr.gov.spb.ru,МО Невская застава,7811022801,1037825012235,
Невский,"Государственное бюджетное общеобразовательное учреждение лицей № 329 Невского района Санкт-Петербурга (проспект Елизарова, дом 5 лит А)",ГБОУ лицей №329 Невского района Санкт-Петербурга,"192029, Санкт-Петербург, проспект Елизарова, дом 5 лит А",Беляева Ольга Александровна,417-27-18,417-27-18,info.lic329@obr.gov.spb.ru,МО Невская застава,7811022801,1037825012235,
Невский,Государственное бюджетное общеобразовательное учреждение гимназия № 330 Невского района Санкт-Петербурга,ГБОУ гимназия №330 Невского района Санкт-Петербурга,"192019, Санкт-Петербург, улица Хрустальная, дом 12, литер А",Кореневская Оксана Валентиновна,412-50-40,412-50-40,info.gbou330.nevsky@obr.gov.spb.ru,МО Невская застава,7811022819,1037825012499,
