№,Полное наименование муниципального совета муниципального образования,Сокращенное наименование муниципального совета муниципального образования,ФИО Главы муниципального образования,Адрес муниципального совета,телефон,e_mail,Сайт,ИНН,КПП,ОГРН
11,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Остров Декабристов,МС МО Остров Декабристов,Захаров Алексей Юрьевич,"199397, Санкт-Петербург, ул. Кораблестроителей, д. 35, корп. 5",351-19-15,Vestnik_mo11@mail.ru,Ostrovdekabristov.ru,7801111139,780101001,1027800562350
12,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Сампсониевское,МС МО Сампсониевское,Рыбчак Мария Михайловна,"194100, Санкт-Петербург, Большой Сампсониевский пр., д. 86",596-32-78,Mosamson@mail.ru,Mo-12.ru,7802340798,780201001,1057813106372
13,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Светлановское,МС МО Светлановское,Штуков Сергей Владимирович,"194223, Санкт-Петербург, пр. Тореза, д. 35/2",552-65-38,Info@mo-svetlanovskoe.ru,Mo-svetlanovskoe.spb.ru,7802119596,780201001,1037804019967
14,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Сосновское,МС МО Сосновское,Загородникова Светлана Григорьевна,"194354, Санкт-Петербург, ул. Есенина, д. 7",511-65-05,Ms@mo-sosnovskoe.ru,Mo-sosnovskoe.ru,7802117775,780201001,1107847223000
15,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ № 15,МС МО № 15,Виноградов Сергей Николаевич,"194352, Санкт-Петербург, Сиреневый бульвар, д. 18, корп. 1, лит. А","516-63-77, 245-01-90",Mo15.sovet@mail.ru,Mo15.spb.ru,7802117863,780201001,1037804022871
16,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Сергиевское,МС МО Сергиевское,Душина Оксана Николаевна,"194356, Санкт-Петербург, пр. Энгельса, д. 131, корп. 1, лит. А","640-66-21, 640-66-20",Mosergievskoe@mail.ru,Мосергиевское.рф,7802118289,780201001,1037804034685
17,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Шувалово-Озерки,МС МО Шувалово-Озерки,Альхов Константин Олегович,"194356, Санкт-Петербург, пр. Луначарского, д. 5","510-81-95, 510-86-81",Mo@ozerkispb.ru,Mo-shuvalovo-ozerki.spb.ru,7802120721,780201001,1027801554670
18,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга поселок Парголово,МС МО пос. Парголово,Кутыловская Ольга Алексеевна,"194362, Санкт-Петербург, п. Парголово, ул. Ломоносова, д. 17",513-84-48,Info@mopargolovo.ru,Mopargolovo.ru,7802114397,780201001,1037804001070
19,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга поселок Левашово,МС МО пос. Левашово,Федоров Сергей Николаевич,"194361, Санкт-Петербург, п. Левашово, ул. Железнодорожная, д. 46",594-96-24,Molevashovo@yandex.ru,Molevashovo.spb.ru,7802409601,780201001,1077847645721
20,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Гражданка,МС МО Гражданка,Беляева Елена Вячеславовна,"195256, Санкт-Петербург, пр. Науки, д. 41","535-35-61, 535-36-26, 535-42-09",Mo.grajdanka@mail.ru,Grajdanka.ru,7804077091,780401001,1037808008985
21,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Академическое,МС МО Академическое,Пыжик Игорь Григорьевич,"195257, Санкт-Петербург, Гражданский пр., д. 84",555-26-59,Momoa@list.ru,Mo-akademicheskoe-spb.ru,7804077013,780401001,1037808002165
22,Муниципальный совет внутригородского муниципального образования города федералнього значения Санкт-Петербурга муниципального округа Финляндский округ,МС МО Финляндский округ,Кудинов Игорь Серафимович,"195221, Санкт-Петербург, пр. Металлистов, д. 93, лит. А",544-58-41,Mo20fo@yandex.ru,Finokrug.spb.ru,7804076355,780401001,1037808035352
23,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ № 21,МС МО № 21,Костина Валентина Дмитриевна,"195265, Санкт-Петербург, ул. Лужская, д. 10","531-38-58, 532-35-62",Okrug21@mail.ru,Okrug21.ru,7804075954,780401001,1027802510537
24,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Пискаревка,МС МО Пискаревка,Умнова Оксана Николаевна,"195067, г.Санкт-Петербург, Пискаревский проспект, дом 52, литера А",298-33-90,Mopiskarevka@yandex.ru,Мо-пискаревка.рф,7804077574,780401001,1027802491485
25,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Северный,МС МО Северный,Миронкин Вячеслав Игоревич,"195274, Санкт-Петербург, пр. Луначарского, д. 80, корп. 1, лит. Б",558-56-05,Mo_nord_spb@mail.ru,Мосеверный.рф,7804076838,780401001,1037808010063
26,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Прометей,МС МО Прометей,Суворов Алексей Борисович,"195276, Санкт-Петербург, ул. Тимуровская, д. 8, корп. 1","558-68-11, 590-98-01",Office@mo24-prometey.ru,Mo24-prometey.ru,7804077197,780401001,1027802516422
27,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Княжево,МС МО Княжево,Козлов Дмитрий Юрьевич,"198207, Санкт-Петербург, Ленинский пр., д. 119","377-15-17, 377-21-37",Momo-25@yandex.ru,Мокняжево.рф,7805111370,780501001,1027802765605
28,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Ульянка,МС МО Ульянка,Хлебникова Оксана Николаевна,"198261, Санкт-Петербург, ул. Генерала Симоняка, д. 9",759-15-15,Mo-26@yandex.ru,Mo-ulyanka.ru,7805111700,780501001,1037811027935
29,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Дачное,МС МО Дачное,Сагалаев Вадим Александрович,"198255, Санкт-Петербург, пр. Ветеранов, д. 69","752-92-83, 752-94-19",Mo_dachnoe27@mail.ru,Dachnoe.ru,7805110859,780501001,1027802765385
30,Муниципальный совет внутригородского муниципального образования города федерального значения Санкт-Петербурга муниципальный округ Автово,МС МО Автово,Шмаков Илья Владимирович,"198152, Санкт-Петербург, ул. Краснопутиловская, д. 27",785-00-47,Avtovo.spb@mail.ru,Moavtovo.ru,7805109162,780501001,1027802761920
31,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Нарвский округ,МС МО Нарвский округ,Каптурович Александр Георгиевич,"198095, Санкт-Петербург, ул. Оборонная, д. 18","786-77-66, 252-77-33",Narvokrug@yandex.ru,Narvski-okrug.spb.ru,7805111718,780501001,1027802756827
32,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Красненькая речка,МС МО Красненькая речка,Абраменко Александр Олегович,"198302, Санкт-Петербург, пр. Маршала Жукова, д. 20","757-91-11, 757-27-83",Ma.redriver@mail.ru,Красненькаяречка.рф,7805111725,780501001,1037811031070
33,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Морские ворота,МС МО Морские ворота,Привалов Александр Алексеевич,"198184, Санкт-Петербург, Канонерский остров, д. 8-А",746-90-45,Morskievorota@mail.ru,Моморскиеворота.рф,7805109902,780501001,1027802768652
34,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга город Колпино,МС МО г. Колпино,Максимова Надежда Витальевна,"196655, Санкт-Петербург, г. Колпино, Соборная, д. 1/4",386-76-70,Kolpinosovet@mail.ru,Kolpino-mo.net,7817032108,781701001,1027808763102
35,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга поселок Понтонный,МС МО пос. Понтонный,Дюбин Иван Николаевич,"196643, Санкт-Петербург, п. Понтонный, ул. А.Товпеко, д. 10","462-40-39, 462-44-27","Mail@mo-pontonniy.ru, dubin@mo-pontonniy.ru",Mo-pontonniy.ru,7817031390,781701001,1027808751740
36,Муниципальный Совет внутригородского муниципального образования Санкт-Петербурга поселок Усть-Ижора,МС МО пос. Усть-Ижора,Кострова Елена Александровна,"196645, Санкт-Петербург, п. Усть-Ижора, Шлиссельбургское ш., д. 219",462-41-53,Ust-izora.mamo@mail.ru,Ust-izora-mo.ru,7817031383,781701001,1027808759109
37,Муниципальный совет внутригородского муниципального образования Санкт-Петербургапоселок Петро-Славянка,МС МО пос. Петро-Славянка,Меньшикова Наталья Владимировна,"196642, Санкт-Петербург, п. Петро-Славянка, ул. Труда, д. 1",462-13-04,1@petro-slavyanka.ru,Petro-slavyanka.ru,7817032637,781701001,1027808752564
38,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга поселок Саперный,МС МО пос. Саперный,Палшкова Евгения Анатольевна,"196644, Санкт-Петербург, поселок Саперный, Дорожная улица, дом 2, литера А",462-16-32,Mo.saperka@mail.ru,Mo-saperniy.ru,7817031400,781701001,1027808760165
39,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга поселок Металлострой,МС МО пос. Металлострой,Антонова Наталия Ивановна,"196641, Санкт-Петербург, п. Металлострой, ул. Центральная, д. 22",464-95-27,Metallostroy97@mail.ru,Вмометаллострой.рф,7817031545,781701001,102708755754
40,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Полюстрово,МС МО Полюстрово,Жабрев Андрей Анатольевич,"195253, Санкт-Петербург, проспект Энергетиков, дом 70, корпус 1, литера А",226-55-07,Mo.polustrovo@mail.ru,Mopolustrovo.ru,7806329700,780601001,1067847063459
41,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Большая Охта,МС МО Большая Охта,Щербакова Мария Дмитриевна,"195027, Санкт-Петербург, Тарасова ул., д. 9","224-15-31, 224-19-07",Munokrug@bohta.spb.ru,Bohta.spb.ru,7806056675,780601001,1037816027864
42,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Малая Охта,МС МО Малая Охта,И.о. Степанов Андрей Олегович,"195112, Санкт-Петербург, Новочеркасский пр., д. 25, корп. 2, лит. А","528-46-63, 528-16-45",Mo.malayaoxta@mail.ru,Малаяохта.рф,7806054117,780601001,1037816059380
43,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Пороховые,МС МО Пороховые,Литвинов Валерий Александрович,"195298, Санкт-Петербург, пр. Косыгина, д. 27/1",524-29-03,Moporohovie@mail.ru,Мопороховые.рф,7806055495,780601001,1037816019394
44,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Ржевка,МС МО Ржевка,Черевко Вячеслав Григорьевич,"195030, Санкт-Петербург, ул. Коммуны, д. 52","527-70-00, 527-68-62",Morjevka@mail.ru;,Morjevka.spb.ru,7806055248,780601001,1037816011397
45,Муниципальный совет внутригородского муниципального образования города федерального значения Санкт-Петербурга муниципального округа Юго-Запад,МС МО Юго-Запад,Семенов Олег Александрович,"198330, Санкт-Петербург, Петергофское шоссе, д. 3, корп. 2",745-79-33,Info@mougozapad.ru,Mougozapad.ru,7807028511,780701001,1037819001428
46,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципального округа Южно-Приморский,МС МО Южно-Приморский,И.о. Епифанцев Юрий Борисович,"198332, Санкт-Петербург, ул. Доблести, д. 20, корп. 1",745-47-66,Ms38.spb@mail.ru,Upmo.ru,7807028631,780701001,1037819000559
47,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципального округа Сосновая поляна,МС МО Сосновая поляна,Давыдова Светлана Юрьевна,"198264, Санкт-Петербург, ул. Пограничника Гарькавого, д. 22, корп. 3","744-87-37, 744-05-39",Ms39@mail.ru,Vmo39.spb.ru,7807028470,780701001,1027804608094
48,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Урицк,МС МО Урицк,Прокопчик Николай Кузьмич,"198205, Санкт-Петербург, ул. Партизана Германа, д. 22",735-86-51,Mourizk@mail.ru,Urizk.spb.ru,7807028374,780701001,1027804600977
49,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Константиновское,МС МО Константиновское,Зыкова Татьяна Викторовна,"198264, Санкт-Петербург, пр. Ветеранов, д. 166, лит. А",300-48-80,Mokrug41@mail.ru,Konstantinovskoe.spb.ru,7807027860,780701001,1027804606906
50,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Горелово,МС МО Горелово,Иванов Дмитрий Аркадьевич,"198323, Санкт-Петербург, Красносельское шоссе, д. 46, лит. А","404-94-99, 746-25-65",Ms@mogorelovo.ru,Mogorelovo.ru,7807027758,780701001,1027804602726
51,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга город Красное Село,МС МО г. Красное Село,Мареев Евгений Маерович,"198320, Санкт-Петербург, Красное Село,  пр. Ленина, д. 85",749-46-24,Mo@krasnoe-selo.ru,Krasnoe-selo.ru,7807027772,780701001,1027804603530
52,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга город Кронштадта,МС МО г. Кронштадт,Чашина Наталия Федоровна,"197760, Санкт-Петербург, г. Кронштадт, ул. Зосимова, д. 11, лит. А",454-20-90,Ap@mskron.ru,"Mskron.ru, kronmo.ru",7843300963,784301001,1057810018562
53,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга город Зеленогорск,МС МО г. Зеленогорск,Чечин Дмитрий Денисович,"197720, Санкт-Петербург, г. Зеленогорск, ул. Исполкомская, д. 5",433-80-63,Mozelenogorsk@mail.ru,Зеленогорск.спб.рф,7827009796,784301001,1027812404410
54,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга город Сестрорецка,МС МО г. Сестрорецк,Иванов Андрей Владимирович,"197706, Санкт-Петербург, г. Сестрорецк, Приморское шоссе, д. 280, лит. А",679-69-00,Info@sestroretsk.spb.ru,Sestroretsk.spb.ru,7827012421,784301001,1027812405653
55,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга поселок Белоостров,МС МО пос. Белоостров,Алексеева Ольга Леонидовна,"197730, Санкт-Петербург, п. Белоостров, Новое шоссе, д. 53 А",740-13-62,Ma@mobeloostrov.ru,Mobeloostrov.ru,7827009997,784301001,1037857000675
56,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга поселок Комарово,МС МО пос. Комарово,Журавская Анастасия Сергеевна,"197733, Санкт-Петербург, п. Комарово, ул. Цветочная, д. 22",433-72-83,Mokomarovo@yandex.ru,Komarovo.spb.ru,7827009972,784301001,1027812404344
57,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга поселок Молодежное,МС МО пос. Молодежное,Холодилова Ирина Александровна,"197729, Санкт-Петербург, п. Молодёжное, ул. Правды, д. 5",433-25-96,Ma@momolodejnoe.ru,Momolodejnoe.ru,7827012541,784301001,1037857000950
58,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга поселок Песочный,МС МО пос. Песочный,Чапаева Елена Андреевна,"197758, Санкт-Петербург, п. Песочный, ул. Советская, д. 6",596-87-06,Mopesochnoe@mail.ru,Мопесочный.рф,7827009980,784301001,1027812404278
59,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга поселок Репино,МС МО пос. Репино,Лебедева Ирина Анатольевна,"197738, Санкт-Петербург, п. Репино, Приморское шоссе, д. 443","433-01-18, 433-51-76",Ma@morepino.ru,Морепино.рф,7827012580,784301001,1027812406380
60,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга поселок Серово,МС МО пос. Серово,Бабенко Андрей Васильевич,"197720, Санкт-Петербург, г. Зеленогорск, пр. Ленина, д. 15",433-65-06,Moserovo@mail.ru,Серово-спб.рф,7827011234,784301001,1027812402860
61,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга поселок Смолячково,МС МО пос. Смолячково,Власов Антон Евгеньевич,"197720, Санкт-Петербург, г. Зеленогорск, пр. Ленина, д. 14, лит. А, пом. 1-Н","409-88-25, 409-88-26",Ms@mo-smol.ru,Mo-smol.ru,7827009884,784301001,1027812404487
62,Муниципальный совет внутригородского муниципального образования города федерального значения Санкт-Петербурга поселок Солнечное,МС МО пос. Солнечное,Сафронов Михаил Александрович,"197739, Санкт-Петербург, пос. Солнечное, Вокзальная ул., д. 15",432-95-69,Ms.info@mosun.ru,Мосолнечное.рф,7827012319,784301001,1037857001126
63,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга поселок Ушково,МС МО пос. Ушково,Машанов Иван Андреевич,"197720, Санкт-Петербург, г. Зеленогорск, пр. Ленина, д. 15",433-82-18,Ma@mo-ushkovo.ru,Mo-ushkovo.ru,7827012291,784301001,1027812403189
64,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Московская застава,МС МО Московская застава,Докукин Юрий Валентинович,"196105, Санкт-Петербург, ул. Свеаборгская, д. 8","387-88-02, 387-88-78",Mcmo44@yandex.ru,Mo44.net,7810142310,781001001,1037821055238
65,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Гагаринское,МС МО Гагаринское,Трифонова Галина Федоровна,"196244, Санкт-Петербург, Витебский пр., д. 41/1",379-95-00,Sovet@gagarinskoe.ru,Mogagarinskoe.ru,7810145920,781001001,1037821041830
66,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Новоизмайловское,МС МО Новоизмайловское,Шубин Сергей Борисович,"196247, Санкт-Петербург, Новоизмайловский пр., д. 85, корп.1","370-21-01, 370-44-83",Mo46@mail.ru,Новоизмайловское.рф,7810136482,781001001,1027804891784
67,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Пулковский меридиан,МС МО Пулковский меридиан,Макаров Виктор Алексеевич,"196070, Санкт-Петербург, ул. Победы, д. 8",371-92-57,Info@mo47.spb.ru,Mo47.spb.ru,7810145039,781001001,1037821028277
68,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Звездное,МС МО Звездное,Разинков Максим Андреевич,"196066, Санкт-Петербург, Алтайская ул., д. 13",371-28-72,Mo048@yandex.ru,Мозвездное.рф,7810144437,781001001,1037821043952
69,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Невская застава,МС МО Невская застава,Карпов Павел Константинович,"192148, Санкт-Петербург, ул. Седова, д. 19",365-19-49,Mozastava49@gmail.com,Моневскаязастава.рф,7811073034,781101001,1027806068311
70,Муниципальный совет внутригородского муниципального образования города федерального значения Санкт-Петербурга муниципальный округ Ивановский,МС МО Ивановский,Кузьмина Светлана Викторовна,"192131, Санкт-Петербург, ул. Ивановская, д. 26",560-35-14,Moivanovskiy@gmail.com,Moivanovskiy.ru,7811073193,781101001,1027806081621
71,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Обуховский,МС МО Обуховский,Бакулин Владислав Юрьевич,"192012, Санкт-Петербург, 2-й Рабфаковский пер., д. 2",368-49-45,Info@moobuhovskiy.ru,Мообуховский.рф,7811073299,781101001,1037825039284
72,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Рыбацкое,МС МО Рыбацкое,Евсина Любовь Владимировна,"192177, Санкт-Петербург, Прибрежная ул., д. 16",700-48-73,Secretaryrybmo@rambler.ru,Rybmo.ru,7811073370,781101001,1037825018461
73,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Народный,МС МО Народный,Бушин Вадим Владимирович,"193079, Санкт-Петербург, ул. Новоселов, д. 5",446-39-12,Sovet@monaro.ru,Mo53.net,7811073355,781101001,1027806072513
74,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ № 54,МС МО № 54,Гусаков Юрий Алексеевич,"193230, Санкт-Петербург, Дальневосточный пр., д. 42",446-59-40,Ms@mo54.ru,Mo54.ru,7811073027,781101001,1037825024874
75,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Невский округ,МС МО Невский округ,Кочанжи Сергей Павлович,"193231, Санкт-Петербург, ул. Коллонтай, д. 21, корп. 1",589-27-27,Nevokrug@nevokrug.ru,Невскийокруг.рф,7811073203,781101001,1037825034609
76,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Оккервиль,МС МО Оккервиль,Бондарев Сергей Евгеньевич,"193312, Санкт-Петербург, ул. Коллонтай, д. 41, корп. 1",584-73-85,Ms@mo-okkervil.ru;,Mo-okkervil.ru,7811074133,781101001,1037825034543
77,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Правобережный,МС МО Правобережный,Беляев Николай Николаевич,"193231, Санкт-Петербург, ул. Латышских Стрелков, д. 11, корп. 4","584-43-34, 584-02-33",Spbmo57@mail.ru,Mo57.ru,7811072898,781101001,1037825018472
78,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Введенский,МС МО Введенский,Асанов Алексей Семёнович,"197198, Санкт-Петербург, ул. Введенская, д. 7",232-51-52,Mo58@bk.ru,Mo58.ru,7813108719,781301001,1037828011385
79,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Кронверкское,МС МО Кронверкское,Шутова Юлия Юрьевна,"197101, Санкт-Петербург, ул. Ленина, д. 12/36","498-58-69, 498-58-72",Kronverk59@mail.ru,Kronverkskoe.ru,7813108500,781301001,1027806885633
80,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Посадский,МС МО Посадский,Панов Юрий Алексеевич,"197046, Санкт-Петербург, ул. Большая Посадская, д. 4, лит. Д",313-96-65,Momo60@list.ru,Mo60.ru,7813110066,781301001,1037828012298
81,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Аптекарский остров,МС МО Аптекарский остров,Титенко Никита Юрьевич,"197022, Санкт-Петербург, ул. Льва Толстого, д. 5",234-95-93,Mcmo61@yandex.ru,Msapt-ostrov.ru,7813108363,781301001,1037828032681
82,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ округ Петровский,МС МО округ Петровский,Вагин Дмитрий Феликсович,"197198, Санкт-Петербург, ул. Гатчинская, д. 16",232-99-52,Mo-62@yandex.ru,Petrovskiokrug.ru,7813107899,781301001,1037828016863
83,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Чкаловское,МС МО Чкаловское,Мартинович Николай Леонидович,"197110, Санкт-Петербург, ул. Большая Зеленина, д. 20",230-94-87,Mo-chkalovskoe@yandex.ru,Mo-chkalovskoe.ru,7813109230,781301001,1037828011484
84,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга поселок Стрельна,МС МО пос. Стрельна,Беленков Валерий Николаевич,"198515, Санкт-Петербург, п. Стрельна, Санкт-Петербургское шоссе, д. 69",421-39-88,Msovet@mo-strelna.ru,Mo-strelna.ru,7819305537,781901001,5067847455638
85,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга город Петергоф,МС МО г. Петергоф,Шифман Александр Викторович,"198510, Санкт-Петербург, г. Петергоф, ул. Самсониевская, д. 3",450-60-36,Msmopetergof@yandex.ru,Мо-петергоф.рф,7819301317,781901001,1057810033203
86,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга город Ломоносов,МС МО г. Ломоносов,Смольникова Надежда Николаевна,"198412, Санкт-Петербург, г. Ломоносов, Дворцовый пр., д. 40",422-57-21,Ms@mo-lomonosov.ru,Mo-lomonosov.ru,7823005712,781901001,1037841001021
87,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Лахта-Ольгино,МС МО Лахта-Ольгино,Богданов Павел Евгеньевич,"197229, Санкт-Петербург, п. Ольгино, ул. Советская, д. 2","498-33-24, 498-33-27",Lahtaolgino@mail.ru,Lahta-olgino.ru,7814088960,781401001,1037832016309
88,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ № 65,МС МО № 65,Белов Александр Юрьевич,"197082, Санкт-Петербург, Богатырский пр., д. 59, корп. 1",341-03-82,Msmo65@yandex.ru,Mo65.net.ru,7814089890,781401001,1037832015044
89,Муниципальный совет внутригородского муниципального образования города федерального значения Санкт-Петербурга муниципальный округ Ланское,МС МО Ланское,Дорожков Артем Алексеевич,"197183, Санкт-Петербург, ул. Сестрорецкая, д. 7",430-58-30,Mo.lanskoe@yandex.ru,Округчернаяречка.рф,7814090920,781401001,1027807565202
90,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Комендантский аэродром,МС МО Комендантский аэродром,Рябыкина Маргарита Феликсовна,"197348, Санкт-Петербург, Богатырский пр., д. 7, корп. 5","394-89-49, 394-58-42, 394-69-48",Aerodrom67@mail.ru,Aerodrom67.spb.ru,7814093744,781401001,1037832015187
