№,Наименование,Сокращенное наименование,Адрес,Юридический адрес,Район города,Ближайшая станция метро,Руководитель,Телефон,Факс,Электронная почта,Муниципальное образование,ИНН,ОГРН,Прочее
11,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская художественная школа № 1""","СПб ГБУ ДО ""Санкт- Петербургская детская художественная школа № 1""","191028, г.Санкт-Петербург, набережная реки Фонтанки, дом 18, литер А","191028, г.Санкт-Петербург, набережная реки Фонтанки, дом 18, литер А",Центральный,Обводный канал,Карху Екатерина Васильевна,273-66-42,273-66-42,detskayahud@yandex.ru,МО Литейный,7825133477,1037843023140,http://art-school-1.ru/director-school
12,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская музыкальная школа № 18""","СПб ГБУ ДО ""СПб ДМШ № 18""","191186, Санкт-Петербург, Малая Конюшенная ул., дом 5","191186, Санкт-Петербург, Малая Конюшенная ул., дом 5",Центральный,Невский проспект,Пономарева Ирина Александровна,571-25-57,571-25-57,dmsh18kkult@yandex.ru,МО Дворцовый,7825440527,1037843077370,http://dms18.ru/main.php
13,Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение «Санкт-Петербургское музыкальное училище имени М.П. Мусоргского»,СПб ГБПОУ «Санкт-Петербургское музыкальное училище имени М.П. Мусоргского»,"191028, г.Санкт-Петербург, Моховая улица, дом 36, литера А, помещение №2Н","191028, г.Санкт-Петербург, Моховая улица, дом 36, литера А, помещение №2Н",Центральный,"Гостиный двор, Маяковская",Серов Юрий Эдуардович,273-03-39,273-03-39,info@musorgsky.spb.ru,МО Литейный,7825134223,1037843056811,http://www.musorgsky.ru/
14,Санкт-Петербургское государственное бюджетное нетиповое образовательное учреждение «Санкт-Петербургский музыкальный лицей»,СПб ГБНОУ «Санкт-Петербургский музыкальный лицей»,"191124, 193124, г.Санкт-Петербург, Ставропольская улица, дом 9, литер А","191124, г.Санкт-Петербург, Ставропольская улица, дом 9",Центральный,Чернышевская,Романов Виталий Владимирович,"271-07-85, 271–26–33",271–26–33,director@muzlyceum.spb.ru,МО Смольнинское,7825433400,1037843105410,http://www.muzlyceum.spb.ru/
15,Санкт-Петербургское государственное бюджетное образовательное учреждение дополнительного образования «Санкт-Петербургская музыкальная школа имени Н. А. Римского-Корсакова»,СПб ГБОУ ДО «Санкт-Петербургская музыкальная школа им. Н. А. Римского-Корсакова»,"191186, Санкт-Петербург, ул. Думская, 1-3, литера А","191186, г.Санкт-Петербург, Думская улица, дом 1-3, литера А,",Центральный,"Гостинный двор, Невский проспект",Орлова Татьяна Борисовна,312-01-87,571-77-52,rimskors@list.ru,мо № 78,7825442806,1037843135340,https://rimskors.ru/
16,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская городская детская музыкальная школа им. С.С.Ляховицкой""",СПб ГБУ ДО “Санкт-Петербургская городская детская музыкальная школа им. С.С.Ляховицкой”,"191023, г.Санкт-Петербург, Садовая улица, дом 32/1, литер А, помещение №19Н, 20Н","191023, г.Санкт-Петербург, Садовая улица, дом 32",Центральный,Сенная Площадь,Климовская Наталия Павловна,"310-04-56, 310-04-62",310-04-56,gdmsh@yandex.ru,МО № 78,7825362188,1037843062047,http://www.gdmsh.ru
17,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Санкт-Петербургское музыкально-педагогическое училище""",СПб ГБПОУ «Санкт-Петербургское музыкально-педагогическое училище»,"197198, г. Санкт – Петербург, ул. Воскова, дом 1, литера А","197198, г. Санкт – Петербург, ул. Воскова, дом 1, литера А",Петроградский,"Чкаловская, Горьковская, Спортивная",Клевцова Светлана Олеговна,232-74-79,232-74-79,mpk32008@mail.ru,МО № 58,7813131813,1037828005885,mpu-spb.ru
18,Санкт-Петербургское государственное бюджетное учреждение дополнительного образования «Санкт-Петербургская детская школа искусств им. В.А.Гаврилина»,СПб ГБУ ДО «Санкт-Петербургская детская школа искусств им. В.А.Гаврилина»,"197343, г.Санкт-Петербург, Омская улица, дом 17, литер А","197343, г.Санкт-Петербург, Омская улица, дом 17, литера А",Приморский,Черная речка,Киселева Ирина Вячеславовна,492-86-91,492-86-91,dshi_gavrilin@mail.ru,МО №66 Ланское,7814115596,1037832020280,https://gavrilin-dshi.spb.muzkult.ru/
19,Санкт-Петербургское государственное бюджетное учреждение дополнительного образования «Санкт-Петербургская детская школа искусств № 4»,СПб ГБУ ДО «Санкт-Петербургская детская школа искусств № 4»,"192071, г.Санкт-Петербург, Бухарестская улица, дом 35, корпус 1, литер А","192071, г. Санкт-Петербург, Бухарестская улица, 35 1 литер А",Фрунзенский,Московская,Овчинников Александр Владимирович,"360-17-17, 360-62-74",360-20-31,arts2002@yandex.ru,МО №73 Купчино,7816171035,1037835036733,http://www.spbdshi4.ru/
20,Санкт-Петербургское государственное бюджетное учреждение дополнительного образования  «Санкт-Петербургская детская школа искусств имени С.В.Рахманинова»,"СПб ГБУ ДО ""СПб ДШИ им. С.В.Рахманинова""","191104, г.Санкт-Петербург, улица Короленко, дом 2, литер А (улица Некрасова, дом 4/2)","191104, г.Санкт-Петербург, улица Короленко, дом 2, литер А (улица Некрасова, дом 4/2)",Центральный,"Чернышевская, Маяковская",Охроменко Елена Николаевна,272-52-79,272-53-81,rahmaninovinfo@yandex.ru,МО №79 Литейный,7825132508,1037843024295,http://rahmaninovschool.spb.ru/
21,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская школа искусств имени Павла Алексеевича Серебрякова""",СПб ГБУ ДО «Санкт-Петербургская детская школа искусств имени Павла Алексеевича Серебрякова»,"191119, г.Санкт-Петербург, улица Марата, дом 68, литер А","191119, г.Санкт-Петербург, улица Марата, дом дом 68, корпус -, литера -, помещение №5Н",Центральный,"Лиговский Проспект, Звенигородская",Нагорный Владимир Васильевич,712-00-09,315-03-63,dshi_serebr@kkult.gov.spb.ru,МО №82 Владимирский,7825438398,1037843025197,http://serebryakov-school.ru/
22,Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение «Академия танца Бориса Эйфмана»,"СПб ГБПОУ ""Академия танца Бориса Эйфмана""","197198, Санкт-Петербург, ул. Б. Пушкарская, дом 14, лит. Б","197198, Санкт-Петербург, ул. Б. Пушкарская, дом 14, лит. Б",Петроградский,"Спортивная, Чкаловская, Петроградская",Афанасьева Лали Отаровна,498-61-12,498-61-12,info@eifmanacademy.ru,Муниципальный округ № 58,7813498113,1117847113009,eifmanacademy.ru
23,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская музыкальная школа № 31""","СПб ГБУ ДО  ""Санкт-Петербургская детская музыкальная школа № 31""","190013, г.Санкт-Петербург, набережная Обводного канала, дом 123, литера Б","190013, г.Санкт-Петербург, набережная Обводного канала, дом 123, литера Б",Адмиралтейский,"Технологический институт, Фрунзенская",Гутман Анжелика Геннадьевна,316-12-01,316-12-01,dmsh31@mail.ru,МО № 4,7826059515,1037851014695,http://dmsh31.spb.ru/
24,Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение «Хоровое училище имени М.И. Глинки,"СПб ГБПОУ ""Хоровое училище имени М.И. Глинки (колледж)""","190121, г.Санкт-Петербург, Мастерская улица, дом 4, литер А","190121, г.Санкт-Петербург, Мастерская улица, дом 4, литер А",Адмиралтейский,Сенная Площадь,Беглецов Владимир Евгеньевич,714-03-01,714-03-00,7140300@gmail.com,МО Коломна,7812037430,1027810254515,http://glinkachoralcollege.ru/
25,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Санкт-Петербургское музыкальное училище имени Н.А. Римского-Корсакова""","СПб ГБПОУ ""Санкт-Петербургское музыкальное училище им. Н.А. Римского-Корсакова""","190121, г.Санкт-Петербург, переулок Матвеева, дом 1а, литер А","190121, г.Санкт-Петербург, переулок Матвеева, дом 1а, литер А",Адмиралтейский,"Садовая, Сенная Площадь, Спасская",Архипов Кирилл Александрович,409-74-24,409-74-24,muskol@bk.ru,МО Коломна,7812037430,1027810254515,http://rimkor.com/
26,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская музыкальная школа №11""","СПб ГБУ ДО ""СПБ ДМШ № 11""","199034, г.Санкт-Петербург, набережная Лейтенанта Шмидта, дом 31, литер А","199034, г.Санкт-Петербург, набережная Лейтенанта Шмидта, дом 31, литер А",Василеостровский,Василеостровская,Стародубцев Андрей Владимирович,321-74-52,323-67-85,dmsh_n11@bk.ru,МО № 7,7801161316,1037800072034,dmsh_n11@bk.ru
27,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская музыкальная школа №7""","СПб ГБУ ДО ""СПб ДМШ №7""","194044, г.Санкт-Петербург,    Большой Сампсониевский проспект, дом 34, лит. А","194044, г.Санкт-Петербург,    Большой Сампсониевский проспект, дом 34, лит. А",Выборгский,Площадь мужества,Яцевич Альберт Сергеевич,291-56-25,291-56-25,a.yatsevich@list.ru,МО Сампсониевское,7802155192,1037804011662,https://dmsh7.spb.muzkult.ru/
28,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская музыкальная школа № 9""","СПБ ГБУ ДО ""Санкт-Петербургская детская музыкальная школа № 9""","198099, г.Санкт-Петербург, улица Гладкова, дом 3, литер А","198099, г.Санкт-Петербург, улица Гладкова, дом 3, литер А",Адмиралтейский,Нарвская,Питулько Михаил Михайлович,786-50-58,786-50-58,goudoddmsh9@mail.ru,МО Нарвский,7805185692,1037811041894,https://shkola-muz9.ru/
29,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская музыкальная школа № 38""","СПБ ГБУ ДО ""ДМШ № 38""","194354, г.Санкт-Петербург, проспект Луначарского, дом 21, корпус 1, литера А, помещение №9-Н","194354, г.Санкт-Петербург, проспект Луначарского, дом 21, корпус 1, литера А, помещение №9-Н",Выборгский,"Озерки, Проспект Просвещения",Брагина Елена Михайловна,"296-39-28, 296-39-27",296-39-28,dmsh-38@yandex.ru,МО Сосновское,7802154914,1037804032672,dmsh38.ru
30,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская музыкальная школа № 34""","СПБ ГБУ ДО ""ДМШ № 34""","198320, Санкт-Петербург, город Красное Село, проспект Ленина, дом 98, литер А","198320, Санкт-Петербург, город Красное Село, проспект Ленина, дом 98, литер А",Красносельский,,Шимаров Александр Анатольевич,741-19-03; 741-41-00,741-19-03,dms34ks@gmail.com,МО Красное Село,7807037107,1037819005377,http://dmsh34-spb.ru/
31,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская музыкальная школа имени Василия Васильевича Андреева""","СПБ ГБУ ДО ""СПб ДМШ им. В.В. Андреева""","196084, г.Санкт-Петербург, Московский проспект, дом 108, литер Д","196084, г.Санкт-Петербург, Московский проспект, дом 108, литер Д",Московский,Московские Ворота,Климанова Александра Михайловна,387-15-03,387-16-18,vvaschool@yandex.ru,МО Московская застава,7810217445,1037821049320,http://www.vvaschool.spb.ru/
32,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Детская музыкальная школа им А.К. Глазунова""","СПБ ГБУ ДО ""ДМШ им. А.К. Глазунова""","192148, г.Санкт-Петербург, улица Седова, дом 32, литер А","192148, г.Санкт-Петербург, улица Седова, дом 32, литер А",Невский,Елизаровская,Шелгунова Лариса Викторовна,"568-02-63, 365-45-42",568-03-26,aglazunov@yandex.ru,МО Невская Застава,7811093792,1037825011784,http://glazunovschool.ru/
33,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская музыкальная школа имени Андрея Петрова""","СПб ГБУ ДО ""ДМШ им. Андрея Петрова""","197046, г.Санкт-Петербург, Каменноостровский проспект, дом 5, литер Б","197046, г.Санкт-Петербург, Каменноостровский проспект, дом 5, литер Б",Петроградский,Горьковская,Коцарева Наталья Георгиевна,232-90-37,232-14-87,schoolpetrov@inbox.ru,МО № 60,7813136709,1037828018634,http://www.schoolpetrov.ru/
34,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская музыкальная школа № 37""","СПб ГБУ ДО ""ДМШ № 37""","197227, г.Санкт-Петербург, проспект Испытателей, дом 8, корпус 1, литера А, помещение №9Н","197227, г.Санкт-Петербург, проспект Испытателей, дом 8, корпус 1, литера А, помещение №9Н",Приморский,Пионерская,Варлакова Инна Станиславовна,"300-95-39, 300-95-37",300-95-39,muz.shc37@yandex.ru,МО Комендантский Аэродром,7802160467,1037804012949,music-school37.spb.muzkult.ru/
35,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская музыкальная школа № 33""",СПб ГБУ ДО «Санкт-Петербургская детская музыкальная школа № 33»,"197349, г.Санкт-Петербург, улица Маршала Новикова, дом 15, корпус 1, литер А","197349, г.Санкт-Петербург, улица Маршала Новикова, дом 15, корпус 1, литер А",Приморский,"Комендантский проспект, Пионерская",Трофимов Владимир Васильевич,246-03-59,246-03-60,dmsh33@mail.ru,МО Юнотолово,7814067328,1037832020808,https://dmsh33.spb.ru/
36,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская музыкальная школа № 24""",СПб ГБУ ДО «СПб ДМШ № 24»,"192283, г.Санкт-Петербург, улица Олеко Дундича, дом 25, корпус 2, литера А, строение 17Н,","192283, г.Санкт-Петербург, улица Олеко Дундича, дом 25, корпус 2, литера А, строение 17Н,",Фрунзенский,"Купчино, Обухово",Каспарянц Людмила Эдуардовна,366-39-70,366-39-70,dmsh24kkult@gmail.com,МО № 76,7816170458,1037835012434,http://musicschool24.ru/
37,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская школа искусств № 19""","СПб ГБУ ДО ""Санкт-Петербургская детская школа искусств № 19""","190103, г.Санкт-Петербург, Рижский проспект, дом 8, литер А, помещение №1Н,2Н,3Н,4Н,20Н","190103, г.Санкт-Петербург, Рижский проспект, дом 8, литер А, помещение №1Н,2Н,3Н,4Н,20Н",Адмиралтейский,"Технологический институт, Балтийская",Липчинская Наталья Васильевна,251-42-56,575-46-86,dmsh19@mail.ru,МО Екатерингофский,7826725405,1037851017764,https://dshi19.spb.muzkult.ru/
38,Санкт-Петербургское государственное бюджетное учреждение дополнительного образования  «Санкт-Петербургская детская школа искусств им. М.Л. Ростроповича»,"СПб ГБУ ДО ""Санкт-Петербургская детская школа искусств им. М.Л.Ростроповича""","190005, г. Санкт-Петербург, Измайловский проспект, дом 8","190005, г. Санкт-Петербург, Измайловский проспект, дом 8",Адмиралтейский,Технологический институт,Дудченко Алла Геннадьевна,251-33-73,"251-33-73, 710-17-90",dsi-mlr@mail.ru,МО Измайловское,7826060447,1037851017930,http://rostropovichschool.ru/
39,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская школа искусств № 10""",СПб ГБУ ДО «Санкт-Петербургская детская школа искусств № 10»,"194214, г.Санкт-Петербург, проспект Энгельса, дом 74, литер А","194214, г.Санкт-Петербург, проспект Энгельса, дом 74, литер А",Выборгский,Удельная,Орлова Наталия Анатольевна,"554-14-85, 553-39-98",553-39-98,school10@mail.wplus.net,МО Сосновское,7802164550,1027801580718,http://artschool10.spb.ru/
40,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская школа искусств им. Г. В.Свиридова""","СПб ГБУ ДО ""ДШИ ИМ. Г.В. Свиридова""","194352, г.Санкт-Петербург, проспект Просвещения, дом 40, литер А","194352, г.Санкт-Петербург, проспект Просвещения, дом 40, литер А",Выборгский,Проспект Просвещения,Веледеева Наталия Михайловна,516-40-03,516-40-03,Sviridov_School@mail.ru,МО Парнас,7802148389,1037804007229,http://www.s-school.ru
41,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская школа искусств им. А.П.Бородина""","СПб ГБУ ДО ""ДШИ им.А.П. Бородина""","195267, г.Санкт-Петербург, проспект Просвещения, дом 82, корпус 1, литер А; 195274, Россия, Санкт-Петербург, проспект Просвещения, д. 53, корп. 1, лит. А, пом. 9Н","195267, г.Санкт-Петербург, проспект Просвещения, дом 82, корпус 1, литер А",Калининский,Гражданский проспект,Куцанова Марина Владимировна,290-00-42,"290-00-42 ,594-46-45",borodinschool@mail.ru,МО Академическое,7804148320,1037808021195,https://borodinschool.spb.muzkult.ru/
42,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская школа искусств № 3""","СПб ГБУ ДО ""СПб ДШИ № 3""","195271, Санкт-Петербург, Кондратьевский проспект, дом 66, корпус 2","195271, Санкт-Петербург, Кондратьевский проспект, дом 66, корпус 2",Калининский,Площадь Мужества,Сперанский Игорь Михайлович,291-09-90,291-09-90,dmsh3@mail.ru,МО № 20,7804148585,1037808015904,www.school-of-arts.ru
43,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская школа искусств № 12""","СПб ГБУ ДО ""СПб ДШИ №12""","195252, г.Санкт-Петербург, улица Карпинского, дом 38, корпус 1, литер А; 195252, г.Санкт-Петербург, ул. Верности, дом 6, корп. 1","195252, г.Санкт-Петербург, улица Карпинского, дом 38, корпус 1, литер А",Калининский,Академическая,Шварц Ксения Игоревна,"346-52-58, 438-57-85","346-52-58, 438-57-85",dshi12@inbox.ru,МО Гражданка,7804150859,1037808015024,https://dshi12.spb.muzkult.ru/
44,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская школа искусств №2 ""","СПб ГБУ ДО ""СПб ДШИ №2""","198216, г.Санкт-Петербург, Ленинский проспект, дом 132, корпус 2, литер А,","198216, г.Санкт-Петербург, Ленинский проспект, дом 132, корпус 2, литер А,",Кировский,Ленинский проспект,Шапкарина Вера Александровна,"376-11-40, 377-55-04","376-11-40, 377-55-04",dshis2@mail.ru,МО Дачное,7805131601,1037811046316,http://dshi2.spb.ru/
45,"Санкт-Петербургское государственное бюджетное нетиповое образовательное учреждение ""Лицей искусств ""Санкт-Петербург""","СПб ГБНОУ ""Лицей искусств ""Санкт-Петербург""","198328, г.Санкт-Петербург, улица Доблести, дом 34, литер А","198328, г.Санкт-Петербург, улица Доблести, дом 34, литер А",Красносельский,Проспект Ветеранов,Мельниченко Диана Тихоновна,751-47-59,742-51-52,lyceumspb@mail.ru,МО Южно-Приморский,7807034917,1037819004728,http://lispb.ru/
46,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская школа искусств имени Е.А.Мравинского""","СПб ГБУ ДО ""ДШИ им. Е.А.Мравинского""","196070, г.Санкт-Петербург, Варшавская улица, дом 44, литер А","196070, г.Санкт-Петербург, Варшавская улица, дом 44, литер А",Московский,Парк Победы,Петрова Эвелина Вагановна,241-23-40,241-23-39,dshi.mravinsk@mail.ru,МО Пулковский меридиан,7810287393,1037821026539,http://www.schoolmravinsky.ru/
47,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская школа искусств имени М.И. Глинки""","СПб ГБУ ДО ""Санкт-Петербургская детская школа искусств имени М.И.Глинки""","193312, г.Санкт-Петербург, улица Коллонтай, дом 29, корпус 2, литер А, 193312, г.Санкт-Петербург, ул. Новосёлов дом 1","193312, г.Санкт-Петербург, улица Коллонтай, дом 29, корпус 2, литер А",Невский,"Проспект Большевиков, Улица Дыбенко, Ладожская",Никитина Алла Владленовна,"584-05-21, 447-79-13, 574-07-00","584-05-21, 447-79-13",spbdshiglinki@mail.ru,МО Невский округ,7811066809,1037825011487,http://glinkaschool.spb.ru/
48,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская школа искусств на Петроградской""","СПб ГБУ ДО ""СПб ДШИ на Петроградской""","197198, г.Санкт-Петербург, Большой проспект П.С., дом 42, литер А","197198, г.Санкт-Петербург, Большой проспект П.С., дом 42, литер А",Петроградский,"Чкаловская, Спортивная",Золотухина Елена Дмитриевна,"235-54-46, 230-95-13, 232-83-00, 233-97-24",230-95-13,musigym@mail.wplus.net,МО Петровский,7813135173,1037828015807,http://new.dshi16-spb.ru/
49,"Санкт-Петербургское государственное бюджетное образовательное учреждение дополнительного профессионального образования ""Учебно-методический центр по образованию Комитета по культуре Санкт-Петербурга""",СПб ГБОУ ДПО УМЦ,"194352, г. Санкт-Петербурга, проспект Просвещения, дом 40, литера А","194352, г. Санкт-Петербурга, проспект Просвещения, дом 40, литера А",Выборгский,Проспект Просвещения,Михайлова Елена Сергеевна,598-82-96,598-83-11,umc.spb@gmail.com,МО Парнас,7825133195,1037843053192,http://metodcentrespb.ru/
50,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Санкт-Петербургский техникум библиотечных и информационных технологий""",СПб ГБПОУ «СПбТБиИТ»,"191040, г. Санкт-Петербург, Лиговский проспект, дом 70","191040, г. Санкт-Петербург, Лиговский проспект, дом 70",Центральный,Лиговский проспект,Панкова Елена Валериевна,764-97-74,712-25-78,info@spbbt.ru,МО Лиговская-Ямская,7825445123,1037843130764,http://www.spbbt.ru/
51,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Детский театр танца Бориса Эйфмана""","СПб ГБУ ДО ""Детский театр танца Бориса Эйфмана""","197198, г.Санкт-Петербург, Введенская улица, дом 3, строение 1","197198, г.Санкт-Петербург, Введенская улица, дом 3, строение 1",Петроградский,Чкаловская,Жаворонок Сергей Геннадьевич,246-33-03,246-33-01,eifmandtt@yandex.ru,МО Введенский,7813632295,1197847057616,http://eifmandtt.ru/
52,Санкт-Петербургское государственное бюджетное учреждение дополнительного профессионального образования «Институт культурных программ»,"СПб ГБУ ДПО ""Институт культурных программ (""ИКП"")""","191025, г.Санкт-Петербург, улица Рубинштейна, дом 8 литер А, помещение 12 Н","191025, г.Санкт-Петербург, улица Рубинштейна, дом 8 литер А, помещение 12 Н",Центральный,Маяковская,Гаазе Ольга Витальевна,312-95-72,312-95-72,icp@spicp.ru,МО №82 Владимирский,7808046545,1027809235684,https://spbicp.ru/
