Порядковый номер,Наименование учреждения,Тип учреждения,ИНН,ОГРН,Адрес,Район города,Руководитель,Телефон,Факс,Электронная почта,Сайт
28,"Санкт-Петербургское Государственное бюджетное профессиональное образовательное учреждение ""Автомеханический колледж""",Профессиональная образовательная организация,7816054243,1027808004730,"192283, г.Санкт-Петербург, Малая Балканская улица, дом 41, литера А",Фрунзенский,Директор: Лучковский Родион Николаевич,8-812-778-90-68,8-812-778-90-68,Ktgs@obr.gov.spb.ru,Www.amlspb.ru
30,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Колледж Водных ресурсов""",Профессиональная образовательная организация,7805010477,1027802769697,"198261, г.Санкт-Петербург, улица Стойкости, дом 28, корпус 2, литера А",Кировский,Директор: Андреев Валерий Евгеньевич,8-812-750-49-97,8-812-750-49-97,Info.collegewr@obr.gov.spb.ru,Www.pu89.ru
31,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Российский колледж традиционной культуры""",Профессиональная образовательная организация,7811063526,1037825025237,"193315, г.Санкт-Петербург, Дальневосточный проспект, дом 51, литера А",Невский,Директор: Говорушина Татьяна Константиновна,8-812-446-41-71,8-812-447-24-32,Rktk@obr.gov.spb.ru,Rktk.org
32,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Пожарно-спасательный колледж ""Санкт-Петербургский центр подготовки спасателей""",Профессиональная образовательная организация,7811060211,1027806065044,"193315, г.Санкт-Петербург, проспект Большевиков, дом 52, корпус 1, литера А",Невский,Директор: Шарапов Сергей Владимирович,8-812-446-70-82,8-812-446-36-08,Info.psk@obr.gov.spb.ru,Www.cps-spb.ru
33,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Техникум ""Автосервис""(Многофункциональный центр прикладных квалификаций)""",Профессиональная образовательная организация,7810248637,1027894915027,"196158, г.Санкт-Петербург, проспект Космонавтов, дом 79, литера А",Московский,Директор: Дьяков Сергей Михайлович,8-812-727-11-00,8-812-727-11-00,T.avtoservis@obr.gov.spb.ru,Www.pl-110.ru
34,Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение «Колледж отраслевых технологий »Краснодеревец«,Профессиональная образовательная организация,7804109307,1037802521151,"195297, г.Санкт-Петербург, улица Ушинского, дом 16, корпус 2, литера А",Калининский,Директор: Джгамадзе Звиади Шакроевич,8-812-531-75-45,8-812-531-75-45,Info.kol.kras@obr.gov.sbb.ru,Www.krasnder@mail.ru
35,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Садово-архитектурный колледж""",Профессиональная образовательная организация,7804157893,1037808024847,"195197, г.Санкт-Петербург, Лабораторная улица, дом 15, литера А",Калининский,Директор: Полякова Светлана Ивановна,8-812-241-30-38,8-812-241-30-38,Sak@obr.gov.spb.ru,Http://sapl113.edu.ru
36,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Колледж метрополитена и железнодорожного транспорта""",Профессиональная образовательная организация,7816041340,1027807988427,"192283, г.Санкт-Петербург, Купчинская улица, дом 28, литера А",Фрунзенский,Директор: Апаницин Владислав Геннадьевич,8-812-771-36-63,8-812-771-59-08,Info.cmetro@obr.gov.spb.ru,Www.plm-spb.ru
37,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Индустриально-судостроительный лицей""",Профессиональная образовательная организация,7805016486,1027802756453,"198260, г.Санкт-Петербург, проспект Народного Ополчения, дом 155, литера А",Кировский,Директор: Куричкис Игорь Витальевич,8-812-606-07-46,8-812-606-07-47,Ispl-116@obr.gov.spb.ru,Www.licey-116.narod.ru
38,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Академия креативных индустрий ""ЛОКОН""",Профессиональная образовательная организация,7807014861,1027804608810,"198206, г.Санкт-Петербург, улица Пионерстроя, дом 25, литера А",Красносельский,Директор: Рыбина Ольга Владимировна,8-812-744-93-97,8-812-738-61-11,Ak.lokon@obr.gov.spb.ru; umr.ak.lokon@obr.gov.spb.ru; uvr.ak.lokon@obr.gov.spb.ru,Www.kollejelokon.ru
39,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Сестрорецкий технологический колледж им.С.И.Мосина""",Профессиональная образовательная организация,7821006750,1027812401374,"197706, Санкт-Петербург, город Сестрорецк, Приморское шоссе, дом 280, литера А",Курортный,Директор: Бухаров Денис Валерьевич,8-812-241-31-20,8-812-241-31-20,Slm@gov.spb.ru,Http://prof-120.edusite.ru/
40,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Колледж ""Красносельский""",Профессиональная образовательная организация,7807354089,1107847298536,"198320, Санкт-Петербург, город Красное Село, Кингисеппское шоссе, дом 53, литера А",Красносельский,Директор: Софина Галина Ивановна,8-812-741-81-76,8-812-741-81-76,Info.kol.kras@obr.gov.spb.ru,Www.plkrasspb.ru
41,"Государственное бюджетное профессиональное образовательное учреждение ""Санкт-Петербургский технический колледж""",Профессиональная образовательная организация,7804038818,1027802494048,"195067, г.Санкт-Петербург, Меншиковский проспект, дом 2, литера А",Калининский,Директор: Бурасовский Алексей Вадимович,8-812-409-87-90,8-812-409-87-90,Info.pk4@obr.gov.spb.ru,Www.spbtk.ru
42,"Санкт-Петербургское государственное автономное профессиональное образовательное учреждение ""Морская техническая академия имени адмирала Д.Н.Сенявина""",Профессиональная образовательная организация,7805016119,1027802743858,"198260, г.Санкт-Петербург, проспект Народного Ополчения, дом 189, корпус 1, литера А",Кировский,Директор: Никитин Виктор Анатольевич,8-812-620-87-08,8-812-750-29-83,Info.spbmtc@obr.gov.spb.ru,Www.spbmtc.com
43,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Колледж электроники и приборостроения""",Профессиональная образовательная организация,7807017647,1027804604222,"198259, г.Санкт-Петербург, проспект Народного Ополчения, дом 223, литера А",Красносельский,Директор: Воронько Галина Ивановна,8-812-241-37-31,8-812-241-37-31,Kep@obr.gov.spb.ru,Www.pl130.ru
44,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Колледж информационных технологий""",Профессиональная образовательная организация,7816013254,1027808003200,"192281, г.Санкт-Петербург, Загребский бульвар, дом 23, корпус 1, литера А",Фрунзенский,Директор: Ильин Валерий Иванович,8-812-778-32-51,8-812-771-86-98,Spbkitdir@obr.gov.spb.ru,Www.spbkit.edu.ru
45,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Малоохтинский колледж""",Профессиональная образовательная организация,7806026832,1027804192085,"195112, г.Санкт-Петербург, Новочеркасский проспект, дом 12, корпус 2, литера А",Красногвардейский,Директор: Безубяк Тарас Михайлович,8-812-528-62-17,8-812-528-62-17,Mplspb@obr.gov.spb.ru,Maloohtcollege.ru
46,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Колледж кулинарного мастерства""",Профессиональная образовательная организация,7825017008,1027809202948,"195273, г.Санкт-Петербург, улица Руставели, дом 35, литера А",Калининский,Директор: Волченко Татьяна Владимировна,8-812-409-80-60,8-812-409-80-60,Info.kkm@obr.gov.spb.ru,Www.plcm.ru
47,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Колледж ""Звездный""",Профессиональная образовательная организация,7810260169,1027804874899,"196233, г.Санкт-Петербург, Звёздная улица, дом 15, корпус 2, литера А",Московский,Директор: Пантелеенко Римма Александровна,8-812-727-51-00,8-812-726-32-46,Zvezdny@obr.gov.spb.ru,Www.zvezdny.spb.ru
48,Государственное бюджетное профессиональное образовательное учреждение педагогический колледж № 1 им. Н.А. Некрасова Санкт-Петербурга,Профессиональная образовательная организация,7810191042,1027804869861,"196247, г.Санкт-Петербург, Кубинская улица, дом 32, литера А",Московский,Исполняющий обязанности директора: Салманова Альбина Фаритовна,8-812-241-28-21,8-812-241-28-21,Nekrasovspb@obr.gov.spb.ru,Http://www.nekrasovspb.ru
49,Государственное бюджетное учреждение дополнительного профессионального образования «Санкт-Петербургский центр оценки качества образования и информационных технологий»,Организация дополнительного профессионального образования,7813151217,1027806874083,"198068, г.Санкт-Петербург, Вознесенский проспект, дом 34, литера Н",Адмиралтейский,Директор: Розов Павел Сергеевич,8-812-576-34-50,8-812-576-34-50,Info.cokoit@obr.gov.spb.ru,Https://rcokoit.ru
50,Санкт-Петербургское государственное бюджетное учреждение «Центр оздоровления и отдыха »Молодежный«,Организация отдыха и оздоровления детей,7825357195,1037843027089,"197198, г.Санкт-Петербург, Зверинская улица, дом 25-27, литера А",Петроградский,Директор: Короткова Юлия Валериевна,8-812-498-10-05,8-812-498-10-05,Coo@obr.gov.spb.ru.,Coo-molod.ru
51,"Санкт-Петербургское государственное бюджетное нетиповое образовательное учреждение ""Центр регионального и международного сотрудничества""",Организация дополнительного профессионального образования,7826146060,1027810222186,"197198, г.Санкт-Петербург, Ораниенбаумская улица, дом 13, литера Б",Петроградский,Директор: Рохманийко Мария Петровна,8-812-405-87-97,8-812-405-87-97,Info.crms@obr.gov.spb.ru,State-courses.ru
52,Государственное бюджетное нетиповое образовательное учреждение «Академия талантов» Санкт-Петербурга,Организация дополнительного образования,7813604570,1147847438298,"197022, г.Санкт-Петербург, набережная реки Малой Невки, дом 1, литера А",Петроградский,Директор: Пильдес Ингрид Валерьевна,8-812-499-86-49,8-812-499-86-49,At@obr.gov.spb.ru,None
53,"Государственное бюджетное учреждение Региональный центр психолого-педагогической, медицинской и социальной помощи «Центр диагностики и консультирования» Санкт-Петербурга","Центр психолого-педагогической, медицинской и социальной помощи",7825430790,1037843026561,"191040, г.Санкт-Петербург, Лиговский проспект, дом 46, литера А",Центральный,Директор: Плетнева Евгения Борисовна,8-812-314-13-12,8-812-571-68-738-812-314-13-12,Cdkspb@obr.gov.spb.ru,Gmpmpk.ru
54,Государственное бюджетное учреждение дополнительного профессионального образования Санкт-Петербургская академия постдипломного педагогического образования,Организация дополнительного профессионального образования,7825337449,1027809246079,"г.Санкт-Петербург, улица Ломоносова, дом 11-13, литера А",Центральный,Исполняющий обязанности ректора: Богданцев Андрей Сергеевич,8-812-409-82-82,8-812-409-82-99,Appo@obr.gov.spb.ru,Spbappo.ru
55,"Государственное бюджетное общеобразовательное учреждение ""Инженерно-технологическая школа №777"" Санкт-Петербурга",Общеобразовательные учреждения,7814712962,1177847375639,"197082, г.Санкт-Петербург, Лыжный переулок, дом 4, корпус 2, строение 1",Приморский,Директор: Князева Вера Владимировна,8 (812) 241-24-40,8 (812) 241-24-40,Info.itsh777@obr.spb.gov.ru,Http://school777.spb.ru/
56,"Государственное бюджетное нетиповое образовательное учреждение ""Академия цифровых технологий"" Санкт-Петербурга",Организация дополнительного образования,7813293645,1177847361163,"197198, г.Санкт-Петербург, Большой проспект П.С., дом 29/2, литера А",Петроградский,И.о. Директора: Колесников Эдуард Николаевич,8-812-643-77-02,8-812-643-77-02,Info.adt@obr.gov.spb.ru,Www.adtspb.ru
57,Государственное бюджетное нетиповое образовательное учреждение «Центр опережающей профессиональной подготовки Санкт-Петербурга»,Центр опережающей профессиональной подготовки Санкт-Петербурга,7842180565,1207800051513,"199178, г.Санкт-Петербург, В.О., 10-я линия, дом 55 литера А",Василеостровский,Директор: Судденкова Наталья Владимировна,None,None,Office@copp78.ru,Https://copp78.ru/
